language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
kapp1237,-,-,-,p,-,-,-,-,-,-,-,-,i,-,-,-,-,-,t,-,i,-,-,-,-,-,-,a,-,-,p,i,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,b,-,-,-,-,-,-,-,-,a,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
arop1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,o,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,p,-,-,-,-,-,-,-,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,o,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
bari1286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
male1289,-,-,-,n,-,a,-,-,t,-,-,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
