language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
kapp1237,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,i,-,i,-,-,-
mala1487,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,a,-,-,-
arop1242,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sioo1240,-,-,n,-,d,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,e,-,-,-
numb1247,-,-,-,-,z,-,-,u,-,-,-,-,-,z,-,-,u,-,-,-,-,-,l,-,-,-,-,a,-,-,-
mutu1242,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,r,-,-,-,-,e,-,-,-
mala1489,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
mbul1263,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,r,-,-,-,-,e,-,-,-
kove1237,-,-,-,-,s,-,-,i,-,-,-,-,-,l,-,-,e,-,-,-,-,-,l,-,-,-,-,e,-,-,-
bari1286,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,l,-,-,-,-,e,-,-,-
male1289,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,l,-,-,-,-,e,-,-,-
taki1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,w,-,-,-,-,-,-,-,-
geda1237,-,-,i,-,y,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,u,-,-,-,-,-,-,-,-
wabb1237,-,-,-,-,l,-,-,u,-,-,-,-,-,t,u,-,o,-,-,-,-,-,t,-,-,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,s,-,-,h,-,-,-,-,i,-,-,-
woge1237,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,-,-,-,-
onto1237,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,h,-,-,-,-,e,-,-,-
taku1257,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sika1261,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,l,-,-,-,-,e,-,-,-
nuku1259,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,r,-,-,-,-,e,-,-,-
nuku1259,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,h,-,-,-,-,e,-,-,-
nuku1260,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-,-
kapi1249,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,i,-,-,-
samo1305,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,f,-,-,-,-,e,-,-,-
nort2844,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,f,-,-,-,-,e,-,-,-
nort2844,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,f,-,-,-,-,i,-,-,a
anut1237,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,t,a,-,p,-,-,-,-,e,-,-,-
east2447,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,f,-,-,-,-,e,-,-,-
east2447,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-,-
