language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
kapp1237,-,-,-,-,-,-,-,-,r,i,-,-,-,-,-,-,3,-,-,-,-,N,-,-,l,3,-,p,i,3,-,-,-,-,-,-,N,-,-,-
arop1242,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,l,a,-,m,-,a,-,-,-,-,-,-,n,-,-,-
arop1242,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,l,a,-,m,-,a,-,-,-,-,-,-,n,-,-,-
bari1286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,i,-,-,-,u,-,-,-,-,-,-,-,-,-,-
male1289,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,i,-,-,-,u,-,-,-,-,-,-,-,-,-,-
mind1255,-,-,a,-,-,-,-,-,r,o,n,t,-,a,l,i,a,-,-,-,-,n,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
wabb1237,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,n,g,u,l,-,-,-,-,o,-,-,-,-,t,-,n,e,-,-
awad1244,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,n,k,-,l,-,-,-,-,o,-,-,-,-,t,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,-,l,a,N,s,-,u,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,-,l,a,N,s,-,u,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,-,-,l,a,N,s,S,u,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,-,-,l,a,N,s,S,u,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kiss1246,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,n,b,u,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
