language,x1,x2,x3,x4,x5,x6,x7
egab1234,-,-,-,s,-,E,-
nuji1238,-,-,-,s,-,E,-
nuji1238,-,-,-,s,-,e,-
enqi1234,-,-,-,s,-,E,-
tuol1234,-,-,-,s,-,e,n
eryu1239,-,-,-,s,-,e,-
yunl1238,-,-,-,s,-,E,-
qili1234,-,-,-,s,-,e,-
heqi1238,-,-,-,s,-,e,-
jian1239,-,-,-,s,-,e,-
xian1250,-,-,-,s,-,e,-
lanp1241,-,-,-,s,-,E,-
zhou1234,y,o,y,c,-,e,-
zhou1234,-,-,-,s,-,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,i,-,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,y,E,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,y,e,-,c,-,e,-
bulg1262,y,E,-,c,-,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,E,y,c,-,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,-,i,-,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,e,y,c,-,e,-
bulg1262,-,i,-,c,-,e,-
bulg1262,y,e,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,3,-,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,e,-,c,y,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,-,3,-,c,y,e,-
bulg1262,-,e,t,s,h,e,-
bulg1262,y,o,-,c,-,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,E,-,c,-,e,-
bulg1262,y,o,y,c,-,i,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,3,-,c,-,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,3,-,c,y,e,-
bulg1262,-,e,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,3,y,c,-,e,-
bulg1262,y,E,y,c,-,3,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,3,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,3,-,c,y,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,i,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,e,y,c,y,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,y,e,y,c,y,e,-
bulg1262,-,i,-,c,-,e,-
bulg1262,y,3,-,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,-,c,-,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,-,e,y,c,-,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,-,i,-,T,y,e,-
bulg1262,y,3,-,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,e,y,c,-,3,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,i,-
bulg1262,y,3,y,c,-,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,-,3,-,c,y,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,i,-,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,i,-,c,y,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,-,e,-,c,-,e,-
bulg1262,y,o,y,c,-,e,-
bulg1262,y,3,y,c,y,e,-
bulg1262,y,3,y,c,-,e,-
