language,x1,x2,x3,x4,x5,x6
zhou1234,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,3
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,3
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,3,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,o
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,u
bulg1262,b,r,o,S,n,o
