language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
gami1243,-,-,-,N,-,-,-,-,-,o,-,-,r,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,N,-,-,-,a,w,u,-,-,r,-,-,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,m,-,-,-,-,-,a,-,-,r,-,-,-,g,-,-,-,o,-,n,-
wang1291,-,-,-,b,-,-,-,-,-,u,-,-,r,u,N,-,g,-,-,-,a,-,l,-
muru1266,-,-,-,p,-,-,-,-,-,a,-,-,r,a,N,-,g,-,-,-,a,-,l,-
kumb1268,-,-,-,d,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,u,-,-,-
darl1243,-,-,-,g,-,-,-,-,-,i,-,-,L,-,-,-,-,-,-,-,i,-,-,-
guny1241,-,-,-,-,-,-,-,-,b,a,-,-,d,-,-,-,g,-,-,-,i,-,-,-
marg1253,-,-,-,-,-,-,-,-,b,a,-,-,d,-,-,-,g,-,-,-,i,-,-,-
maya1280,-,-,-,r,-,-,-,i,k,a,-,-,r,u,-,-,k,-,-,-,a,7,7,-
gugu1255,-,-,-,n,-,-,-,u,g,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
kuku1273,-,-,-,b,-,-,-,i,b,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,n,-,-,-,u,g,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,n,-,-,-,u,g,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,r,-,-,-,a,g,o,-,-,l,-,-,-,-,-,-,-,-,-,-,-
paka1251,-,-,-,t,-,-,-,-,-,u,m,-,p,-,-,-,-,-,-,-,a,-,-,-
kuku1280,k,o,n,t,-,-,-,-,-,o,m,i,l,-,-,-,-,-,-,-,a,-,-,-
wikm1247,-,-,-,t,-,-,-,-,-,a,-,-,7,-,-,-,k,-,-,-,o,-,N,k
umpi1239,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,-,a,-,-,-
kuuk1238,-,-,-,t,-,-,-,-,-,u,-,-,l,-,-,-,k,-,-,-,a,-,-,-
gurd1238,-,-,-,n,-,-,-,o,m,o,n,-,g,-,-,-,k,-,-,-,-,-,-,-
ngaa1240,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,i,-,-,-
pint1251,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,a,-,-,-
pitj1243,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,i,-,-,-
pint1250,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,u,-,-,-
kuka1246,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,-,k,-,-,-,u,-,-,-
