language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
warl1256,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
bula1255,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
waga1260,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
yany1243,-,-,-,l,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
kala1377,-,-,-,d,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,p,a,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,i
warr1255,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dyir1250,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
gugu1255,N,a,-,m,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,r,-,-,-,-,g,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
kuku1273,-,-,-,T,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dyaa1242,-,-,-,5,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,b,a,5,-,u,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yidi1250,-,-,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,r,-,-,-
wulg1239,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
guny1241,-,-,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,d,-,-,-
marg1253,-,-,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,d,-,-,-
sout2765,-,-,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,d,-,-,-
biri1256,-,-,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,n,-,-,-,-,b,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
gang1268,-,-,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,n,-,-,-,-,b,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
guwa1242,-,-,-,T,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wong1246,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kala1380,-,-,-,n,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
badj1244,-,-,-,n,-,-,-,-,-,-,-,-,-,-,i,-,-,n,-,u,-,n,-,a,-,-,k,-,-,-,-,-,-,-,a,-,-,-,i,-,-,-
