language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
gami1243,b,i,l,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,b,i,l,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-
wira1262,b,i,l,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,-,t,-,i,-,-,-,r,-,-,-,-,-,a,-,-,-,n,-,-
darl1243,-,-,d,-,i,y,a,-,r,-,-,-,-,-,a,-,-,-,-,-,-
kuku1273,-,-,k,-,a,-,-,-,d,-,-,-,-,-,a,-,-,-,n,T,i
dyaa1242,-,-,g,-,a,-,-,-,r,-,-,-,-,-,-,-,-,-,n,-,a
yidi1250,-,-,g,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,a
warr1255,-,-,g,-,u,-,-,-,l,-,-,-,-,-,a,-,-,-,l,b,i
paka1251,m,i,4,-,a,p,a,-,T,-,-,-,-,-,a,-,-,-,N,-,-
kuku1280,m,i,4,-,a,N,a,n,t,-,-,-,-,-,a,-,-,-,n,-,-
gurd1238,-,-,-,-,a,-,-,-,8,-,-,-,-,-,u,-,-,-,m,-,-
kuka1246,-,-,l,-,i,-,-,-,r,-,-,w,-,-,a,-,-,-,n,t,i
kara1476,-,-,l,-,e,-,-,-,r,-,-,g,a,r,a,-,-,-,N,-,o
nhan1238,-,-,N,-,u,-,-,-,l,-,-,y,-,-,a,-,-,-,-,r,-
waja1257,-,-,T,-,i,-,-,-,r,-,-,-,-,-,a,-,-,-,n,t,i
bayu1240,p,i,t,-,i,-,-,-,r,-,-,-,-,-,a,-,-,-,-,-,-
dhal1245,p,i,t,-,i,-,-,-,r,-,-,-,-,-,a,-,-,-,-,-,-
nyun1247,-,-,T,-,u,-,-,-,r,-,-,-,-,-,a,-,-,-,-,k,-
warl1255,-,-,t,-,a,-,-,-,r,-,-,-,-,-,u,k,-,u,-,-,-
ngar1235,-,-,w,-,a,-,-,-,l,-,-,-,-,-,u,g,b,i,5,-,-
mudb1240,-,-,d,-,i,-,-,-,r,-,-,-,-,-,a,k,-,i,n,-,-
jaru1254,-,-,d,-,i,-,-,-,r,-,-,-,-,-,a,-,-,-,n,-,-
walm1241,-,-,N,-,a,-,-,-,r,-,-,k,-,-,a,l,y,a,l,y,a
yand1253,-,-,m,-,u,-,-,-,r,u,m,b,-,-,a,-,-,-,-,d,i
yann1237,N,a,t,-,i,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-
djin1253,g,a,N,g,i,-,-,-,r,-,-,-,-,-,a,-,-,-,r,-,-
alya1239,-,-,-,-,i,-,-,-,r,-,-,-,-,-,a,-,-,-,n,t,-
