language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
wira1262,-,-,-,d,-,-,-,-,-,-,a,-,-,n,-,a,-,-,m,a,i
kumb1268,b,u,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,y
darl1243,p,u,-,k,-,-,-,-,-,-,a,-,-,5,-,a,-,-,-,-,-
gugu1255,-,-,-,d,-,-,-,-,-,-,o,-,-,d,-,i,-,-,-,-,-
dyaa1242,-,-,-,g,-,-,-,-,-,-,a,-,-,T,-,a,-,-,-,-,-
kuuk1238,k,u,n,t,-,-,-,-,-,-,u,-,-,y,-,u,-,-,-,-,-
gurd1238,-,-,-,x,-,-,-,-,-,-,a,t,i,n,T,a,-,-,r,-,-
ngaa1240,-,-,-,m,-,-,-,-,-,-,i,-,-,r,-,i,-,-,-,-,-
pint1250,-,-,-,m,-,-,-,-,-,-,i,-,-,r,-,i,-,-,-,-,-
kuka1246,-,-,-,m,-,-,-,-,-,-,i,-,-,r,-,i,-,-,-,-,-
nyam1271,-,-,-,m,a,L,-,-,-,k,a,-,-,r,-,i,-,-,-,-,-
mart1256,-,-,-,m,i,5,-,i,-,m,i,-,-,5,-,i,-,-,-,-,-
kara1476,-,-,-,g,-,-,-,-,-,-,a,-,-,r,-,i,g,a,n,-,-
nyun1247,-,-,-,T,u,-,-,-,-,-,a,-,-,r,-,a,g,-,n,-,-
guri1247,-,-,-,y,-,-,-,-,-,-,i,-,-,r,k,i,-,-,n,-,-
ngar1235,-,-,-,N,a,-,-,-,-,w,u,-,-,l,-,u,-,-,-,-,-
mudb1240,-,-,-,T,a,l,k,a,n,d,a,-,-,r,-,a,-,-,-,-,-
walm1241,-,-,-,p,-,-,-,-,-,-,i,-,-,l,-,a,-,-,-,-,-
adny1235,-,-,-,-,-,-,-,-,-,-,u,-,-,T,-,u,-,-,-,-,-
naru1238,-,-,-,b,-,-,-,-,-,-,a,-,-,L,-,u,-,-,n,-,i
dier1241,k,u,-,m,-,-,-,-,-,p,i,-,-,r,-,a,-,-,-,-,-
yand1253,-,-,-,n,-,-,-,-,-,-,a,-,-,r,-,i,-,-,-,-,-
gupa1247,-,-,-,d,-,-,-,-,-,-,a,-,-,r,-,a,-,-,7,-,-
guma1253,-,-,-,m,-,-,-,-,-,-,u,-,-,5,-,a,-,-,n,-,-
dayi1244,-,-,-,b,E,-,-,-,-,p,u,-,-,r,-,u,-,-,7,-,-
rita1239,-,-,-,d,-,-,-,-,-,-,a,-,-,r,-,a,-,-,7,-,-
djin1253,-,-,-,g,-,-,-,-,-,-,a,-,-,l,N,i,-,-,-,-,-
yany1243,-,-,-,k,u,y,-,u,-,w,a,-,-,n,-,a,-,-,-,-,-
kala1377,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,m,-,-
alya1239,-,i,p,m,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
