language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
gami1243,-,-,-,-,-,-,-,-,d,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-
gami1243,-,-,-,-,-,-,-,-,d,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-
wira1262,b,i,n,-,-,-,-,-,d,-,-,u,g,-,-,-,a,-,-,r,-,-,-,-,-,-,a,-,-,-
wang1291,-,-,-,-,-,-,-,-,g,-,-,a,-,-,-,-,-,-,-,r,-,a,-,-,n,-,a,-,-,-
muru1266,-,-,-,-,-,-,-,-,N,-,-,a,n,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-
darl1243,-,-,-,-,-,-,-,-,b,-,-,a,n,-,-,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-
guny1241,-,-,-,-,-,-,-,-,d,-,-,u,-,-,-,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-
dyaa1242,-,-,-,-,-,-,-,-,g,-,-,a,m,-,-,-,-,-,-,b,-,-,-,-,-,-,a,-,y,-
yidi1250,-,-,-,-,-,-,-,-,g,-,-,a,m,-,-,-,-,-,-,b,-,-,-,-,-,-,a,-,-,-
dyir1250,-,-,-,-,-,-,-,-,d,-,y,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,l,-
warr1255,-,-,-,-,-,-,-,-,g,-,-,a,n,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-
kuku1280,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,T,-,-,-,-,-,-,i,-,-,-
wikm1247,-,o,N,-,-,-,-,-,k,-,-,e,-,-,-,-,-,-,-,y,-,-,-,-,-,-,a,-,N,-
kuuk1238,y,a,-,-,-,-,-,-,k,-,-,a,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,n,a
gurd1238,-,-,N,-,-,-,-,-,k,-,-,o,b,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-,y,-
pint1251,-,-,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-
kuka1246,-,-,-,-,-,-,-,-,w,-,-,a,-,-,i,-,a,-,-,n,-,-,-,-,-,-,a,-,-,-
nyam1271,-,-,k,-,u,-,-,-,p,-,-,a,t,-,u,y,a,-,-,m,-,-,p,-,-,-,a,-,-,-
nyan1301,-,-,-,-,-,-,-,-,w,-,-,a,r,k,i,-,-,-,-,n,-,-,-,-,-,-,i,-,-,-
mart1256,-,-,-,-,-,-,-,-,w,-,-,a,y,-,i,-,-,-,-,n,-,-,-,-,-,-,u,-,-,-
kara1476,-,-,-,-,-,-,-,-,y,-,-,a,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,b,-
nhan1238,-,-,-,-,-,-,-,-,m,-,-,a,t,-,i,T,a,-,-,d,-,-,-,-,-,-,a,-,-,-
bayu1240,-,-,-,-,-,-,-,-,p,-,-,a,l,-,-,y,a,N,-,g,-,a,-,-,m,-,a,-,-,-
dhal1245,-,-,-,-,-,-,-,-,w,-,-,a,t,-,-,-,a,n,-,d,-,a,-,-,y,-,i,-,n,-
dhar1247,-,-,-,-,-,-,-,-,w,-,-,a,r,-,-,g,a,-,-,l,-,a,r,-,i,-,a,-,-,-
pany1241,-,-,k,-,u,-,-,-,p,-,-,a,t,-,-,-,-,-,-,-,-,u,w,-,i,k,u,-,-,-
yind1247,-,-,g,-,u,-,-,-,w,-,-,a,d,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-
nyun1247,-,-,k,-,-,-,-,-,w,-,-,i,-,-,-,-,-,-,-,l,-,e,-,-,y,-,a,-,h,-
