language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
gami1243,-,-,b,-,u,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,m,a,-,-,-,-,-,-,-,-,-
gami1243,-,-,b,-,u,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,u,-,m,a,-,-,-,-,-,-,-,-,-
wira1262,-,-,m,-,e,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
wang1291,-,-,m,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
muru1266,-,-,g,-,u,-,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-
kumb1268,-,-,w,-,a,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,T,i,-,-,-,-,-,-,-,-,-
darl1243,-,-,g,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
guny1241,-,-,N,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
marg1253,-,-,N,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kung1258,-,-,N,-,u,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
bidy1243,-,-,N,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
gugu1255,-,-,T,-,o,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kuku1273,-,-,k,-,a,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,g,-,u,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dyir1250,-,-,g,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
warr1255,-,-,b,-,a,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
paka1251,-,-,k,-,u,-,-,-,-,-,q,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kuku1280,-,-,k,-,u,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
wikm1247,-,-,t,-,o,-,n,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,k,-,u,-,-,-,-,-,q,-,-,-,-,-,-,-,-,-,-,a,-,k,a,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,k,-,u,-,-,-,-,-,7,-,-,-,-,a,-,-,-,-,-,a,-,k,a,-,-,-,-,-,-,-,-,-
kanj1260,-,-,k,-,u,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,a,-,k,a,-,-,-,-,-,-,-,-,-
gurd1238,-,-,r,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,k,-,-,-,-,-
ngaa1240,-,-,5,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,u,-,-,-,-,-,-,-,-,-
pint1251,-,-,5,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,u,-,-,-,-,-,-,-,-,-
pitj1243,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,a,-,-,-,-,-,-,-,-,-
pint1250,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,a,-,-,-,-,-,-,-,-,-
kuka1246,-,-,k,-,u,-,5,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,p,a,-,-,-,-,-,-,-,-,-
nyam1271,-,-,y,-,u,-,k,u,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nyan1301,-,-,y,-,u,-,k,u,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
mart1256,-,-,T,-,a,-,N,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,y,i,-,-,-,-,-,-,-,-,-
wanm1242,-,-,T,-,a,-,n,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kara1476,-,-,y,-,o,-,g,o,-,-,r,o,l,o,N,a,n,d,T,a,g,a,n,T,a,-,-,-,r,i,g,u,i,i
kara1476,-,-,y,-,o,-,g,o,-,-,r,o,l,o,N,a,n,d,T,a,g,a,n,T,a,-,-,-,r,i,g,u,i,i
nhan1238,-,-,-,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
waja1257,-,-,d,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
bayu1240,k,a,b,-,a,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dhal1245,k,a,b,-,a,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dhar1247,t,-,-,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kurr1243,-,-,w,-,a,-,5,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
pany1241,-,-,y,-,u,-,k,u,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
ngar1287,-,-,w,-,a,-,5,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yind1247,-,-,w,-,a,-,5,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
nyun1247,-,-,t,-,o,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
warl1255,-,-,-,-,-,-,m,a,l,i,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
warl1254,-,-,-,-,-,-,m,a,l,i,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
waru1265,-,-,k,-,u,-,n,a,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
guri1247,-,-,N,-,u,-,r,a,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-
ngar1235,-,-,w,-,a,-,N,a,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
mudb1240,-,-,w,-,a,-,L,a,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
jaru1254,-,-,g,-,u,n,T,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
adny1235,-,-,w,-,i,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,-,-,-,-,-,-,-,-
naru1238,-,-,k,-,a,-,d,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
dier1241,k,i,4,t,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yand1253,-,-,p,-,a,-,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
dhuw1249,-,-,w,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
djam1256,-,-,w,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
