language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
gami1243,-,-,b,u,-,-,-,-,-,l,-,-,-,-,a,-,-,l,-,-
gami1243,-,-,b,a,-,-,-,-,-,l,-,-,-,-,a,-,-,l,-,-
wira1262,-,-,b,u,-,-,-,-,-,r,-,-,-,-,a,-,-,N,-,-
wang1291,-,-,b,u,-,-,-,-,-,n,-,k,-,-,a,-,-,i,-,-
muru1266,-,-,p,u,-,-,-,-,-,n,-,k,-,-,i,-,-,n,-,T
kumb1268,-,-,d,a,-,-,-,-,-,r,-,-,-,-,a,b,i,n,-,-
darl1243,-,-,d,a,-,-,-,-,-,L,-,-,-,-,a,-,-,-,-,-
guny1241,-,-,y,a,-,L,-,-,-,g,-,-,-,-,a,-,-,-,-,-
marg1253,-,-,y,a,-,L,-,-,-,g,-,-,-,-,a,-,-,-,-,-
gugu1255,-,-,d,a,i,N,-,-,-,g,-,-,-,-,a,-,-,l,-,-
kuku1273,-,-,m,a,-,-,-,-,-,r,-,-,-,-,a,-,-,l,-,-
dyaa1242,-,-,g,a,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-
yidi1250,-,-,b,u,-,m,-,-,-,b,-,-,-,-,a,-,-,-,-,-
warr1255,-,-,g,a,-,-,-,-,-,d,-,-,-,-,a,-,-,l,-,a
paka1251,-,-,t,a,-,-,-,-,-,q,-,-,-,-,a,-,-,n,-,-
kuku1280,-,-,p,o,-,-,-,-,-,T,-,-,-,-,e,-,-,-,-,-
wikm1247,-,-,k,i,-,-,-,-,-,T,-,-,-,-,a,-,-,N,-,-
kuuk1238,-,-,l,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,r,-,-,-,-,e,-,-,m,-,-
ngaa1240,-,-,p,i,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-
pint1251,k,a,p,i,-,-,-,-,i,l,-,-,-,-,u,-,-,-,-,-
pitj1243,-,-,p,i,-,l,-,y,u,r,-,-,-,-,u,-,-,-,-,-
pint1250,-,-,t,a,-,-,-,-,-,r,-,t,-,T,a,-,-,n,-,u
kuka1246,-,-,l,a,-,-,-,-,-,l,a,L,-,p,a,-,-,-,-,-
nyam1271,-,-,m,i,-,-,-,-,-,n,-,t,i,p,a,-,-,-,-,-
nyan1301,-,-,l,a,-,-,-,-,-,l,-,k,-,-,a,-,-,-,-,-
mart1256,-,-,y,a,-,-,-,-,-,n,-,t,i,n,a,r,i,N,-,u
wanm1242,-,-,p,-,-,-,-,-,-,-,-,-,u,5,u,r,-,-,-,-
kara1476,-,-,b,o,-,d,-,-,a,r,-,-,-,-,a,-,-,-,-,-
kara1476,-,-,p,u,-,r,-,-,a,y,-,-,-,-,i,-,-,-,-,-
nhan1238,-,-,-,i,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-
waja1257,-,-,b,i,-,n,-,-,-,d,-,-,-,-,i,-,-,n,-,-
bayu1240,-,-,p,i,-,y,-,-,a,d,-,-,-,-,a,-,-,-,-,-
dhal1245,-,-,p,i,-,y,-,-,a,d,-,-,-,-,a,-,-,-,-,-
dhar1247,-,-,p,i,-,y,-,-,a,d,-,-,-,-,a,-,-,-,-,-
kurr1243,-,-,p,i,-,T,-,p,a,r,-,-,-,-,a,-,-,-,-,-
pany1241,-,-,b,i,-,y,-,-,-,-,-,-,-,-,u,-,-,-,-,-
ngar1287,-,-,b,i,-,T,-,-,-,-,-,-,-,-,u,-,-,-,-,-
yind1247,-,-,b,i,-,y,-,-,-,-,-,-,-,-,u,-,-,-,-,-
nyun1247,-,-,d,a,-,t,-,-,-,t,-,-,-,-,a,-,-,-,-,-
warl1255,-,-,l,-,-,-,-,-,i,-,-,T,-,-,i,-,-,-,-,-
warl1254,-,-,l,-,-,-,-,-,i,n,-,T,-,-,i,-,-,-,-,-
waru1265,-,-,m,a,n,t,a,m,a,n,-,t,-,-,a,-,-,-,-,-
guri1247,-,-,p,u,-,l,-,w,a,r,-,-,-,-,-,-,-,-,-,-
ngar1235,-,-,-,-,-,l,-,-,a,l,-,g,-,-,a,-,-,-,-,-
mudb1240,-,-,w,u,-,r,-,-,u,-,-,T,-,-,a,-,-,-,-,-
jaru1254,-,-,m,a,-,r,-,-,-,-,-,g,-,-,a,-,-,-,-,-
adny1235,-,-,v,a,-,t,a,v,u,L,-,p,-,-,a,-,-,n,t,u
naru1238,-,-,w,i,-,d,-,-,-,T,-,-,-,-,a,-,-,-,-,-
dier1241,-,-,m,u,-,y,-,-,-,-,-,-,-,-,a,-,-,-,-,-
yand1253,-,-,p,u,-,r,-,-,u,r,-,-,-,-,u,-,-,-,-,-
dhuw1249,-,-,b,a,-,n,-,-,-,d,-,-,-,-,a,-,-,5,-,-
djam1256,-,-,b,a,-,n,-,-,-,d,-,-,-,-,a,-,-,5,-,-
gupa1247,-,-,m,u,-,-,-,-,-,l,-,k,-,-,a,-,-,-,-,-
guma1253,-,-,b,a,-,n,-,-,-,d,-,-,-,-,a,-,-,5,-,-
dhan1270,-,-,b,a,-,n,-,-,-,d,-,-,-,-,a,-,-,5,-,-
dayi1244,-,-,b,a,-,n,-,-,-,d,-,-,-,-,a,-,-,5,-,7
