language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
gami1243,-,-,-,-,b,u,-,n,-,-,-,-,b,u,-,n,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,b,u,-,n,-,-,-,-,b,u,-,n,-,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,-,m,u,-,r,-,-,-,-,-,u,-,N,-,-,-,-,-,-,-,-,-,-
wang1291,-,-,-,-,m,u,-,r,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
muru1266,-,-,-,-,p,a,-,n,t,-,-,a,p,a,-,n,-,-,-,-,t,-,-,-,a,-
darl1243,-,-,-,-,b,i,-,n,-,-,-,-,d,i,-,-,-,-,-,-,-,-,-,-,-,-
gugu1255,-,-,-,-,b,u,-,n,-,-,-,-,d,i,-,l,-,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,-,-,b,u,-,n,-,-,-,-,d,i,-,m,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,b,u,-,n,-,-,-,-,d,i,-,m,-,-,-,-,-,-,-,-,-,-
dyir1250,-,-,-,-,b,u,-,n,-,-,-,-,d,i,-,5,-,-,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,b,u,-,n,-,-,-,-,d,i,-,5,-,-,-,-,-,-,-,-,-,-
paka1251,-,-,-,-,-,a,-,-,t,-,-,a,t,i,-,m,-,-,-,-,-,-,-,-,-,-
kuku1280,y,u,k,u,p,o,-,N,k,-,-,o,b,o,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,p,o,-,N,k,-,-,o,k,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,a,-,-,t,i,-,a,t,i,-,l,-,-,-,-,-,-,-,-,a,-
kuuk1238,-,-,-,-,-,a,-,-,t,i,y,a,t,i,-,l,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,r,u,a,N,-,-,-,-,g,3,-,r,-,-,-,-,-,-,-,-,-,-
ngaa1240,t,-,-,-,T,i,-,n,-,-,-,-,t,i,-,l,-,-,y,-,k,-,-,-,a,-
pint1251,t,-,-,-,T,i,-,n,-,-,-,-,t,i,-,l,-,-,y,-,k,-,-,-,a,-
pint1250,t,-,-,-,T,i,-,n,-,-,-,-,t,i,-,r,t,T,i,n,t,i,r,p,a,-
kuka1246,-,-,-,-,p,i,-,L,-,-,-,-,p,i,-,5,t,T,-,-,-,-,-,-,i,-
nyam1271,-,-,-,-,w,a,-,T,-,-,-,a,p,i,-,-,-,-,-,-,-,-,-,-,-,-
nyan1301,-,-,-,-,w,a,-,T,-,-,-,a,p,i,-,-,-,-,-,-,-,-,-,-,-,-
wanm1242,-,-,-,-,T,a,-,r,-,-,-,-,T,u,-,5,-,-,-,-,-,-,-,-,-,-
kara1476,d,-,-,-,T,i,-,n,-,-,-,-,b,a,-,l,-,-,-,-,g,-,-,-,a,-
bayu1240,-,-,-,-,p,u,-,N,-,-,-,-,g,u,n,T,-,-,-,-,-,-,-,-,a,-
dhal1245,-,-,-,-,T,i,-,l,-,-,-,-,p,u,-,T,-,-,-,-,-,-,-,-,i,-
dhar1247,-,-,-,-,T,i,-,l,-,-,-,-,b,i,-,r,-,-,-,-,-,-,-,-,i,-
kurr1243,-,-,-,-,p,i,-,n,-,-,-,-,p,i,-,l,-,-,-,-,-,-,-,-,a,-
pany1241,-,-,-,-,p,i,-,n,-,-,-,-,p,i,-,l,-,-,-,-,-,-,-,-,a,-
ngar1287,-,-,-,-,T,a,-,l,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,i,-
yind1247,-,-,-,-,b,i,-,n,-,-,-,-,b,i,-,l,-,-,-,-,-,-,-,-,a,-
nyun1247,-,-,-,-,y,i,-,n,-,-,-,-,d,a,-,l,-,-,-,-,g,-,-,-,a,-
warl1255,-,-,-,-,m,i,-,-,-,-,-,-,k,a,-,l,-,-,-,-,-,-,-,-,a,-
warl1254,-,-,-,-,T,i,-,n,-,-,-,-,t,i,-,l,-,-,y,-,k,-,-,-,a,-
waru1265,-,-,-,-,m,i,-,-,-,-,-,-,k,a,-,l,-,-,-,-,-,-,-,-,a,-
guri1247,-,-,-,-,p,i,-,l,-,-,-,-,p,i,-,l,-,-,y,-,T,-,-,-,i,-
ngar1235,-,-,-,-,b,i,-,l,-,-,-,-,b,i,-,-,-,-,-,-,T,-,-,-,i,N
mudb1240,-,-,-,-,w,a,-,n,-,-,-,-,-,i,-,-,-,-,-,-,y,-,-,-,i,-
jaru1254,-,-,-,-,b,i,-,l,-,-,-,-,b,i,-,l,-,-,d,-,T,-,-,-,i,-
adny1235,-,-,-,-,v,i,-,-,-,-,-,-,T,i,-,r,-,-,-,-,k,-,-,-,i,-
dier1241,-,-,-,-,p,i,-,n,-,-,-,-,d,-,-,r,-,-,-,-,-,-,-,-,i,-
yand1253,-,-,-,-,w,a,-,m,-,-,-,a,l,u,-,r,-,-,-,-,-,-,-,-,u,-
dhuw1249,-,-,-,-,d,e,-,t,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-
djam1256,-,-,-,-,d,e,-,t,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-
gupa1247,-,-,-,-,d,e,-,t,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-
dhan1270,-,-,-,-,d,e,-,t,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-
rita1239,-,-,-,-,d,e,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yann1237,-,-,-,-,L,i,-,t,-,-,-,-,m,i,-,r,-,-,i,-,N,-,-,-,u,-
djin1253,-,-,-,-,L,i,-,t,-,-,-,-,m,i,-,r,-,-,i,-,N,-,-,-,i,-
waga1260,-,-,-,-,m,i,-,t,-,-,-,a,m,a,-,-,-,-,-,-,k,-,-,-,u,-
kala1377,-,-,-,-,m,a,-,-,-,-,-,-,t,i,-,-,-,-,-,-,-,-,-,-,-,-
alya1239,-,-,-,-,-,-,-,n,-,-,-,-,t,e,-,l,-,-,-,-,-,-,-,-,T,-
