language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
yidi1250,-,-,-,m,-,-,-,-,u,-,-,-,-,-,-,-,g,-,-,a,-,-,-,-,y,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,o,-,-,-,-,n,-
ngaa1240,t,T,u,N,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,i,-,-,-,-,-,-
pitj1243,t,T,u,N,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,i,-,-,-,-,-,-
kuka1246,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,r,a,w,u,-,-,-,-,-,-
nyan1301,-,-,-,p,i,y,-,-,a,n,-,a,p,i,n,-,t,-,-,i,-,-,-,-,-,-
mart1256,-,-,-,w,-,-,-,-,a,-,-,-,k,u,-,-,r,-,-,a,-,-,-,-,-,-
kara1476,-,T,u,N,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,i,-,-,-,-,-,-
waja1257,-,-,-,N,-,-,-,-,a,-,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,-
ngar1287,-,-,-,b,-,-,-,-,a,-,-,-,r,u,-,-,r,-,-,u,-,-,-,-,-,-
warl1255,-,-,w,-,-,-,-,-,a,-,-,-,p,i,-,-,T,-,-,i,-,-,-,-,-,-
warl1254,-,T,u,N,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,i,-,-,-,-,-,-
waru1265,-,-,-,N,a,L,i,k,a,-,-,-,-,-,-,-,r,-,-,i,p,u,L,u,N,u
guri1247,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,N,-
mudb1240,-,-,-,b,i,5,-,T,a,-,-,-,w,u,5,-,T,-,-,a,-,-,-,-,-,-
jaru1254,-,-,-,b,i,L,i,T,-,-,-,-,-,u,N,a,r,-,-,i,-,-,-,-,-,-
adny1235,-,-,-,w,-,-,-,-,a,d,l,a,N,-,-,a,m,-,-,i,-,-,-,-,-,-
dier1241,-,-,-,m,-,-,-,-,u,d,-,-,T,o,p,a,r,-,-,o,-,-,-,-,-,-
yand1253,-,-,-,m,-,-,-,-,a,d,r,a,4,i,w,a,-,-,-,-,-,-,-,-,-,-
rita1239,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,7,-,-,-,-,-,-
waga1260,-,-,-,m,-,-,-,-,i,r,-,i,k,a,n,-,t,-,-,-,-,-,-,-,-,-
yany1243,-,-,-,w,-,-,-,-,u,L,-,u,w,u,-,-,L,-,-,u,-,-,-,-,-,-
