language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
gami1243,-,-,-,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,g,-,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,a,N,-,-
wang1291,-,-,-,g,-,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-
muru1266,-,-,-,p,-,-,-,-,a,-,k,a,r,-,-,-,-,-,-,-,a,m,-,-
kumb1268,-,-,-,T,-,-,-,-,a,N,g,u,r,-,-,-,-,-,-,-,-,-,-,-
darl1243,-,-,-,b,-,-,-,-,a,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-
guny1241,-,-,-,g,-,-,-,-,a,-,-,-,d,-,-,-,-,g,-,-,a,l,-,-
marg1253,-,-,-,d,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-
kung1258,-,-,-,d,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-
gugu1255,-,-,-,b,-,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-
kuku1273,-,-,-,b,-,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-
dyaa1242,-,-,-,d,-,-,-,-,u,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-
yidi1250,-,-,-,g,-,-,-,-,u,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-
dyir1250,-,-,-,g,-,-,-,-,u,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-
warr1255,-,-,-,m,-,-,-,-,a,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-
paka1251,-,-,-,k,-,-,-,-,a,-,-,-,N,-,-,-,-,k,-,-,a,-,-,-
kuku1280,-,-,-,-,-,-,-,-,e,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-
wikm1247,-,-,-,t,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,a,n,-,t
umpi1239,-,-,-,k,-,-,-,-,a,-,-,-,N,-,-,-,-,k,-,-,a,-,-,-
kuuk1238,-,-,-,k,-,-,-,-,a,-,-,-,N,-,-,-,-,k,-,-,a,-,-,-
kanj1260,-,-,-,k,-,-,-,-,a,-,-,-,N,-,-,-,-,k,-,-,a,-,-,-
gurd1238,-,-,-,l,-,N,k,-,o,-,-,-,r,-,-,-,-,-,-,-,x,-,-,-
ngaa1240,-,-,-,k,-,-,-,-,a,-,-,-,L,-,-,-,-,p,-,-,i,-,-,-
pitj1243,-,-,-,5,-,-,-,-,a,-,-,-,l,-,-,-,-,p,-,-,i,-,-,-
pint1250,-,-,-,p,-,-,-,-,a,-,-,-,r,-,-,-,-,k,-,-,a,-,-,-
kuka1246,-,-,-,p,-,-,-,-,a,-,-,-,r,-,-,-,-,k,-,-,a,-,-,-
nyam1271,-,-,-,p,-,-,-,-,a,-,-,-,r,-,-,-,-,k,-,-,a,-,-,-
nyan1301,-,-,-,p,-,-,-,-,a,-,-,-,r,-,-,-,-,k,-,-,a,-,-,-
mart1256,-,-,-,p,-,-,-,-,a,-,-,-,L,-,-,-,-,-,-,-,i,n,-,u
wanm1242,-,-,-,p,-,-,-,-,a,-,-,-,r,-,-,-,-,k,-,-,a,-,-,-
kara1476,-,-,-,w,-,-,-,-,i,-,-,-,r,-,-,-,-,g,-,-,i,n,-,-
kara1476,-,-,-,N,-,-,-,-,a,-,-,-,l,y,a,w,a,t,-,-,a,-,-,-
nhan1238,-,-,-,p,-,-,-,-,i,-,-,-,r,-,-,-,i,l,-,-,a,-,-,-
