language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
warl1256,-,-,-,-,m,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,t,-,-,u,-,-,-,-,-
bula1255,-,-,-,-,N,-,-,-,-,a,n,-,i,-,-,N,-,-,a,-,d,a,l,i,-,-,-,-,-
waga1260,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,t,-,-,i,-,-,-,-,-
yany1243,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,b,-,-,a,-,-,-,-,-
kala1377,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,r,-,-,i,-,-,-,-,-
dyaa1242,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,g,-,-,a,-,-,-,-,-
yidi1250,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,g,-,-,a,-,-,-,-,-
wulg1239,-,-,-,u,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
marg1253,-,-,-,-,b,-,-,-,-,a,-,-,-,-,-,N,-,-,a,-,r,-,-,a,-,-,-,-,-
sout2765,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,g,-,-,u,-,-,-,-,-
kung1258,-,-,-,-,b,-,-,-,-,a,-,l,a,-,-,N,-,-,u,-,r,-,-,u,-,-,-,-,-
wong1246,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,k,-,-,u,-,r,-,-,a,-,-,-,-,-
muru1266,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,k,-,-,a,-,-,-,-,-
yala1262,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,4,-,-,-,-,t,-,-,a,-,-,-,-,-
paka1251,-,-,-,-,p,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,T,-,-,i,-,-,-,-,-
kuku1280,y,u,k,u,p,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-
wikm1247,-,-,-,-,w,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,r,-,-,p,-,-,-,-,-
umpi1239,-,-,-,-,y,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-
