language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
warl1256,-,-,-,-,p,-,-,a,-,-,-,-,l,-,-,-,-,-,-,-,-,a,-,-,-,-
bula1255,-,-,-,-,4,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-
waga1260,-,-,-,-,n,-,-,a,n,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-
warr1255,-,-,d,-,y,-,-,a,-,-,-,-,-,-,-,-,-,-,-,n,d,i,-,-,-,-
kuku1273,-,-,-,-,p,-,-,a,-,-,-,-,p,-,-,-,-,a,-,r,-,-,-,-,-,-
dyaa1242,-,-,-,-,b,-,-,a,-,-,-,-,d,-,-,-,-,i,-,n,-,i,-,-,-,-
marg1253,-,-,-,-,g,-,-,a,-,-,-,-,m,-,-,-,-,i,-,n,-,u,-,-,-,-
sout2765,-,-,-,-,b,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-
bidy1243,-,-,-,-,k,-,-,a,-,-,-,-,m,-,-,-,-,-,-,-,-,i,-,-,-,-
biri1256,-,-,-,-,g,-,-,u,-,-,-,-,d,-,-,-,-,-,-,-,-,a,-,-,-,-
gang1268,-,-,-,-,g,-,-,u,-,-,-,-,d,-,-,-,-,-,-,-,-,a,-,-,-,-
guwa1242,-,-,-,-,k,-,-,a,-,-,-,-,m,-,-,-,-,-,-,-,-,i,-,-,-,-
kuun1236,-,-,-,-,T,-,-,o,-,-,-,-,r,T,o,r,m,i,-,5,-,a,-,-,-,-
pirr1240,-,-,-,-,k,-,-,u,-,-,-,-,r,k,a,-,-,-,-,n,-,i,-,-,-,-
wong1246,-,-,-,-,g,-,-,a,-,-,-,-,5,-,-,-,-,i,d,y,-,a,-,-,-,-
badj1244,-,-,-,-,t,-,-,a,-,-,-,-,d,-,-,-,-,u,-,n,-,a,-,-,-,-
muru1266,-,-,-,-,p,-,-,a,-,-,-,-,p,-,-,-,-,-,-,-,-,a,-,-,-,-
yira1239,-,-,-,-,T,-,-,u,-,-,-,-,d,t,-,-,-,u,-,n,-,a,-,-,-,-
kalk1246,-,-,-,-,p,u,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,a,-,-,-,-
yala1262,-,-,-,-,t,i,r,i,-,-,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-
mayi1235,-,-,-,-,T,o,b,a,-,-,-,-,m,-,-,-,-,-,-,-,-,o,-,-,-,-
mayi1236,-,-,-,-,k,u,l,a,-,-,-,-,m,-,-,-,-,-,-,-,-,u,-,-,-,-
ngaw1240,-,-,-,-,N,-,-,a,t,-,-,-,T,-,-,-,-,i,-,r,-,i,-,-,-,-
maya1280,-,-,-,-,k,u,l,a,-,-,-,-,k,-,-,-,-,a,-,l,-,a,-,-,-,-
mayi1234,-,-,-,-,m,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
paka1251,-,-,-,-,-,-,-,a,y,-,-,a,p,-,-,-,-,-,-,-,-,e,-,-,-,-
kuku1280,-,-,-,-,N,-,-,a,t,-,-,e,p,-,-,-,-,-,-,-,-,e,-,-,-,-
wikm1247,-,-,-,-,y,-,-,a,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,y,-,-,a,-,-,-,-,7,-,-,-,-,-,-,-,-,a,-,-,-,-
kuuk1238,-,-,-,-,y,-,-,a,-,-,-,-,7,-,-,-,-,-,-,-,-,a,-,-,-,-
kanj1260,-,-,-,-,y,-,-,a,-,-,-,-,7,-,-,-,-,-,-,-,-,a,-,-,-,-
flin1247,-,-,-,-,-,-,-,a,-,-,-,-,p,-,-,-,-,-,-,-,-,a,-,-,-,-
guga1239,-,-,-,-,k,-,-,a,-,-,-,-,4,-,-,-,-,-,-,-,-,i,l,-,-,-
gurd1238,-,-,-,-,p,-,-,a,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
yand1253,-,-,-,-,k,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,-
yawa1258,-,-,-,-,k,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,-
dier1241,-,-,-,-,k,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,-
ngam1284,-,-,-,-,k,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,-
yarl1238,s,-,t,u,t,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-
arab1267,-,-,-,-,k,-,-,a,r,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-
wang1290,-,-,-,-,k,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,-
guya1249,-,-,-,-,T,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,a,-,-,-,-
nhir1234,-,-,-,-,k,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,-
pitt1247,-,-,-,-,y,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-,-
