language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
gami1243,g,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,i,-,y,-,-
gami1243,g,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,i,-,y,-,-
wira1262,g,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,i,-,N,a,-
muru1266,k,-,-,-,-,-,-,i,w,a,k,u,r,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kumb1268,T,-,-,-,-,-,-,a,-,-,-,-,l,-,-,-,u,b,-,-,-,-,i,-,-,-,-
dyaa1242,T,-,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,a,-,y,-,-
wikm1247,-,-,-,-,-,-,-,o,-,-,-,-,T,-,-,-,a,m,t,e,7,-,a,-,N,-,-
umpi1239,k,u,m,-,p,-,-,u,-,-,-,-,t,-,-,-,a,m,-,-,p,-,a,-,-,-,-
gurd1238,t,-,-,-,-,-,-,u,-,a,-,-,r,-,-,-,-,k,-,-,w,-,i,l,k,-,-
ngaa1240,k,a,-,-,p,-,-,i,-,-,t,-,T,-,-,-,a,n,-,u,l,k,u,-,-,-,-
pint1250,k,u,m,-,p,-,-,u,-,-,-,-,r,-,-,-,a,N,-,-,-,-,u,-,-,-,-
kuka1246,k,a,-,-,p,-,-,u,-,l,t,u,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-
nyam1271,N,u,n,-,t,-,-,u,-,-,-,-,T,-,-,-,-,-,-,-,-,-,i,-,-,-,-
nyan1301,N,u,n,-,t,-,-,u,-,-,-,-,T,-,-,-,i,n,-,-,-,-,i,-,-,-,-
mart1256,k,u,m,-,p,-,-,u,-,-,-,-,T,-,-,-,a,n,-,-,-,-,u,-,-,-,-
wanm1242,k,u,m,-,p,-,-,u,-,-,-,-,T,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kara1476,N,u,n,-,t,-,-,u,-,-,-,-,T,-,-,-,a,n,-,-,p,-,a,-,-,-,-
nhan1238,w,u,m,-,b,-,-,u,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-
bayu1240,k,u,m,-,b,-,-,u,-,-,-,-,T,a,n,m,a,y,-,-,-,-,i,-,-,-,-
dhar1247,k,u,-,-,p,-,-,i,-,-,-,-,y,-,-,-,a,r,-,-,-,-,u,-,-,-,-
ngar1287,g,u,m,-,b,-,-,u,-,-,-,-,T,-,-,-,a,-,-,-,-,-,-,-,-,-,-
yind1247,g,u,-,-,w,-,-,a,-,-,-,-,d,-,-,-,a,y,-,i,-,g,u,-,-,-,-
nyun1247,T,u,m,-,b,-,-,-,-,-,-,-,-,-,-,-,a,n,-,-,-,-,i,-,-,-,-
warl1254,y,i,T,i,p,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngar1235,g,u,m,-,b,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jaru1254,g,u,m,-,b,-,-,u,-,-,-,-,y,-,-,-,a,n,-,-,-,-,a,-,n,-,-
adny1235,-,u,m,-,b,-,-,u,-,-,-,-,T,-,-,-,a,r,-,u,-,T,a,-,r,u,i
dier1241,k,i,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,r,-,-,-,-,a,-,-,-,-
yand1253,-,-,-,-,p,-,-,u,-,-,-,-,d,-,-,-,a,t,-,i,-,k,a,-,-,-,-
dhuw1249,-,-,-,-,w,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-
djam1256,-,-,-,-,w,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gupa1247,-,-,-,-,w,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhan1270,-,-,-,-,w,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dayi1244,-,-,-,-,w,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,y,-,u,-,n,-,-
yann1237,-,-,-,-,w,-,-,a,-,-,-,-,L,-,-,w,a,L,-,-,y,-,u,-,n,-,-
djin1253,-,-,n,-,u,-,T,i,-,-,-,-,g,-,-,-,-,-,-,-,-,-,i,-,-,-,-
warl1256,m,a,-,-,T,-,-,u,-,-,-,-,k,-,-,-,a,m,-,-,-,-,a,-,-,-,-
kala1377,N,u,-,-,k,i,t,o,-,-,-,i,d,-,-,-,a,-,-,-,-,-,i,-,-,-,-
alya1239,-,-,m,-,p,-,-,w,e,a,-,-,T,-,-,w,e,n,-,e,y,-,e,-,l,-,-
