language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
warl1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,i,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
bula1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,i,-,-,-,-,l,-,-,-,i,-,-,y,i,-,-,-,-,-,-,-,-,-
waga1260,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,m,e,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yind1248,-,-,w,-,-,-,-,-,-,a,-,-,n,-,-,m,u,-,-,-,-,r,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kala1377,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,e,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
warr1255,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,i,l,-,-,a,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dyaa1242,-,-,w,-,-,-,-,-,-,a,-,-,N,-,-,g,i,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,w,-,-,-,-,-,-,a,-,-,N,-,-,g,i,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wulg1239,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,g,a,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
guny1241,-,-,b,-,-,-,-,-,-,i,-,-,n,-,-,b,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
marg1253,-,-,b,-,-,-,-,-,-,i,-,-,n,-,-,b,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
sout2765,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
biri1256,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
gang1268,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
kuun1236,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,5,-,-,-,-
wong1246,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,b,a,-,-,-,-,-,-,-,-,-
kala1380,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,b,a,-,-,-,-,-,-,-,-,-
muru1266,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,T,-
kalk1246,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,i,p,-,-,a,l,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
yala1262,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,i,p,-,-,a,l,-,-,-,-,-,-,p,i,-,p,-,a,l,-,-,-,-
paka1251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,4,-,-,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kuku1280,-,-,w,-,-,-,-,-,-,a,7,a,m,-,-,-,u,n,-,-,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,u,n,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,u,n,-,-,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,u,n,-,-,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,w,a,-,-,-,-,n,-,-,T,-
yand1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,i,-,-,p,a,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
yawa1258,-,-,b,-,-,-,-,-,-,a,-,-,n,k,i,t,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
ngam1284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,i,m,-,b,i,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
