language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
gami1243,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-
gami1243,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-
wira1262,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,a,-,-,N,-,a,N
wang1291,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,u,w,a,n,-,-,-
muru1266,-,-,-,-,m,-,-,-,a,-,-,n,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
darl1243,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,a,-,-,N,g,a,-
guny1241,-,-,-,-,m,-,-,-,a,-,-,4,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-
marg1253,-,-,-,-,m,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
maya1280,-,-,-,-,m,-,-,-,a,-,-,4,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-
gugu1255,-,-,-,-,m,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
kuku1273,-,-,-,-,m,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
dyaa1242,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yidi1250,-,-,-,-,m,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
dyir1250,-,-,-,-,w,-,-,-,u,d,-,y,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
paka1251,-,-,-,-,m,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
wikm1247,-,-,-,-,m,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,m,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
