language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
gami1243,-,-,-,-,-,k,-,-,-,u,-,-,-,l,-,-,i,-,-
gami1243,-,-,-,-,-,k,-,-,-,a,-,-,-,l,-,-,y,-,-
wira1262,-,-,-,-,-,g,-,-,-,a,-,-,-,l,-,-,i,N,-
wang1291,-,-,-,-,-,k,-,-,-,u,-,-,-,l,-,-,i,-,-
muru1266,-,-,-,-,-,N,-,-,-,a,-,-,-,p,-,-,a,-,-
kumb1268,-,-,-,-,-,N,-,-,-,a,-,-,-,r,-,-,u,-,-
darl1243,-,-,-,-,-,N,-,-,-,u,-,-,-,g,-,-,u,-,-
guny1241,-,-,-,-,-,g,-,-,-,a,-,-,-,m,-,-,u,-,-
marg1253,-,-,-,-,-,g,-,-,-,a,-,-,-,m,-,-,u,-,-
kung1258,-,-,-,-,-,g,-,-,-,a,-,-,-,m,-,-,u,-,-
bidy1243,-,-,-,-,-,k,-,-,-,a,-,-,-,m,-,-,u,-,-
maya1280,-,-,-,-,-,y,-,-,-,a,-,-,-,p,-,-,u,-,-
gugu1255,-,-,-,-,-,p,-,-,-,u,-,-,-,r,-,-,a,i,-
kuku1273,-,-,-,-,-,b,-,-,-,a,-,-,-,n,-,-,a,-,-
dyaa1242,m,u,r,b,a,b,-,-,-,a,-,-,-,n,-,-,a,-,-
yidi1250,-,-,-,-,-,p,-,-,-,a,-,-,-,n,-,-,a,-,-
dyir1250,-,-,-,-,-,b,-,-,-,a,-,-,-,n,-,-,a,-,-
warr1255,-,-,-,-,-,g,-,-,-,a,-,-,-,m,-,-,u,-,-
paka1251,-,-,-,-,-,w,-,-,-,e,-,-,-,T,-,-,e,-,-
kuku1280,-,-,-,-,-,N,-,-,-,a,-,-,-,k,-,-,a,-,-
wikm1247,-,-,-,-,-,N,-,-,-,a,-,-,-,k,-,-,-,-,-
umpi1239,-,-,-,-,-,p,-,-,-,i,-,-,-,q,-,-,i,-,-
kuuk1238,-,-,-,-,-,m,-,-,-,a,-,-,-,m,-,-,a,-,-
kanj1260,-,-,-,-,-,p,-,-,-,i,-,-,-,7,-,-,i,-,-
gurd1238,-,-,-,-,-,w,-,-,-,a,-,-,-,l,-,-,-,-,-
ngaa1240,-,-,-,-,-,k,-,-,-,a,-,-,-,p,-,-,i,-,-
pint1251,-,-,-,-,-,m,-,-,-,i,-,-,-,n,-,-,a,-,-
pitj1243,-,-,-,-,-,k,-,-,-,a,-,-,-,p,-,-,i,-,-
pint1250,-,-,-,-,-,k,u,r,N,a,-,l,y,p,-,-,a,-,-
kuka1246,-,-,-,-,-,g,-,-,-,a,-,-,-,b,-,-,i,-,-
nyam1271,-,-,-,-,-,b,-,-,-,a,-,b,-,-,-,-,a,-,-
nyan1301,-,-,-,-,-,w,-,-,-,a,-,n,a,y,i,t,i,-,-
mart1256,-,-,-,-,-,T,-,-,-,a,-,l,-,y,-,-,u,-,-
wanm1242,-,-,-,-,-,k,-,-,-,a,-,l,-,y,-,-,u,-,-
kara1476,-,-,-,w,a,n,-,-,-,a,-,-,e,d,-,-,i,-,-
kara1476,-,-,-,-,-,N,-,-,-,a,-,-,-,p,-,-,a,-,-
nhan1238,-,-,-,-,-,-,-,-,-,a,-,-,-,p,-,-,e,r,-
waja1257,-,-,-,-,-,g,-,-,-,a,-,-,-,g,-,-,u,5,-
bayu1240,-,-,-,-,-,k,-,-,-,a,-,-,-,y,u,l,u,-,-
dhal1245,-,-,-,-,-,k,-,-,-,a,-,-,-,y,u,l,u,-,-
dhar1247,-,-,-,-,-,p,-,-,-,a,-,-,-,b,-,-,a,-,-
kurr1243,-,-,-,-,-,5,-,-,-,i,-,-,-,l,-,-,a,-,-
pany1241,-,-,-,-,-,p,-,-,-,a,-,-,-,p,-,-,a,-,-
ngar1287,-,-,-,-,-,b,-,-,-,a,-,-,-,b,-,-,a,-,-
yind1247,-,-,-,-,-,y,-,-,-,a,-,r,-,w,-,-,a,-,-
nyun1247,-,-,-,-,-,g,-,-,-,a,-,-,-,b,-,-,y,-,-
warl1255,-,-,-,-,-,N,-,-,-,a,-,-,-,p,-,-,a,-,-
warl1254,-,-,-,-,-,N,-,-,-,a,-,-,-,p,-,-,a,-,-
waru1265,-,-,-,-,-,N,-,-,-,a,-,-,-,p,-,-,a,-,-
guri1247,-,-,-,-,-,N,-,-,-,a,-,-,-,w,-,-,a,-,-
ngar1235,-,-,-,-,-,N,-,-,-,a,-,-,-,w,-,-,a,-,-
mudb1240,-,-,-,-,-,N,-,-,-,u,-,-,-,k,-,-,u,-,-
jaru1254,-,-,-,-,-,N,-,-,-,a,-,-,-,b,-,-,a,-,-
adny1235,-,-,-,-,-,N,-,-,-,a,-,-,-,p,-,-,a,-,-
naru1238,-,-,-,-,-,g,-,-,-,a,-,-,-,w,-,-,i,-,-
dier1241,-,-,-,-,-,N,-,-,-,a,-,-,-,p,-,-,a,-,-
yand1253,-,-,-,-,-,N,-,-,-,a,-,-,-,p,-,-,a,-,-
dhuw1249,-,-,-,-,-,g,-,-,-,u,-,t,-,T,-,-,a,r,k
djam1256,-,-,-,-,-,g,-,-,-,a,-,-,-,p,-,-,u,-,-
gupa1247,-,-,-,-,-,w,-,-,-,a,k,u,-,t,-,-,u,-,-
guma1253,-,-,-,-,-,g,-,-,-,a,-,-,-,p,-,-,u,-,-
dhan1270,-,-,-,-,-,g,-,-,-,u,-,t,-,T,-,-,a,r,k
dayi1244,-,-,-,-,-,g,-,-,-,u,-,t,-,T,-,-,a,r,k
rita1239,-,-,-,-,-,g,-,-,-,u,-,t,-,T,-,-,a,r,k
yann1237,-,-,-,-,-,g,-,-,-,a,-,-,-,p,-,-,u,-,-
djin1253,-,-,d,T,u,r,-,-,-,u,-,-,-,m,-,-,u,-,L
waga1260,-,-,-,-,-,y,-,-,-,-,-,-,u,k,-,-,a,-,-
warl1256,-,-,-,-,-,w,-,-,-,-,-,-,u,k,-,-,u,-,-
yany1243,-,-,-,-,-,k,-,-,-,a,-,L,u,L,-,-,u,-,-
kala1377,-,-,-,-,-,N,-,-,-,u,-,-,-,k,-,-,i,-,-
alya1239,-,-,-,-,-,k,w,-,-,a,-,-,-,T,-,-,-,-,-
ande1247,-,-,-,-,-,k,w,-,-,a,-,-,-,T,-,-,-,-,-
west2441,-,-,-,-,-,k,w,-,-,a,-,t,-,T,-,-,a,-,-
