language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
gami1243,-,x,u,r,y,u,N,-,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,-,-,-,N,i,-,y,a,-,-,-,n,-,-,-,-,-,-,i,-,-,-,-,-,-
wira1262,-,-,-,-,-,-,N,i,-,y,a,-,-,-,n,-,-,-,-,-,-,i,-,-,-,-,-,-
wang1291,-,-,-,-,-,-,N,e,-,-,e,-,-,-,n,-,-,-,-,-,-,e,-,-,-,-,-,-
muru1266,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
kumb1268,-,-,-,-,-,-,N,i,-,y,a,-,-,-,g,-,-,-,-,-,-,a,-,-,y,-,-,-
darl1243,-,-,-,-,-,-,N,-,-,-,i,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
guny1241,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
marg1253,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
maya1280,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
gugu1255,-,-,-,-,-,-,N,-,-,-,a,-,-,-,4,-,-,-,d,-,-,a,-,-,n,-,-,-
kuku1273,-,-,-,-,-,-,N,-,-,-,a,-,-,-,5,-,-,-,T,-,-,a,-,-,n,-,-,-
dyaa1242,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,T,-,-,i,-,-,-,-,-,-
dyir1250,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
wikm1247,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
kanj1260,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-
pitj1243,-,-,-,-,-,-,N,-,-,-,a,n,-,a,n,-,-,-,-,-,-,a,-,-,-,-,-,-
pint1250,-,-,-,-,-,-,N,-,-,-,a,n,-,a,n,-,a,-,N,a,r,i,-,-,-,-,-,-
nyam1271,-,-,-,-,-,-,N,-,-,-,a,n,-,a,n,-,-,-,-,-,-,a,-,-,-,-,-,-
nyan1301,-,-,-,-,-,-,N,-,-,-,-,-,-,a,l,-,-,-,-,-,-,i,-,-,-,-,-,-
mart1256,-,-,-,-,-,-,l,-,-,-,a,m,p,a,T,-,-,-,-,-,-,u,-,-,-,-,-,-
wanm1242,-,p,a,-,-,-,r,-,-,-,a,-,w,a,t,-,-,-,-,-,-,a,-,-,-,-,-,-
kara1476,-,-,-,-,-,-,N,-,-,-,-,-,-,a,n,-,-,-,T,-,-,a,-,-,-,-,-,-
kara1476,-,-,-,-,-,-,y,-,-,-,-,-,-,a,n,-,-,-,-,-,-,a,-,-,-,-,-,-
nhan1238,-,-,-,-,-,-,N,-,-,-,a,-,-,-,4,-,-,-,-,-,-,u,-,-,-,-,-,-
waja1257,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,-,-,T,-,-,u,-,-,-,-,-,-
bayu1240,-,-,-,-,-,-,N,-,-,-,a,4,-,u,r,-,-,-,-,-,-,u,-,-,-,-,-,-
dhal1245,-,-,-,-,-,-,N,-,-,-,a,n,-,a,n,-,-,-,-,-,-,a,-,-,-,-,-,-
kurr1243,-,-,-,-,-,-,N,-,-,-,a,-,-,-,l,-,i,-,y,-,-,a,-,-,w,-,-,u
ngar1287,-,-,-,-,-,-,N,-,-,-,a,n,-,a,n,-,-,-,-,-,-,a,-,-,-,-,-,-
yind1247,-,-,-,-,-,-,N,-,-,-,a,y,-,i,n,-,-,-,t,-,-,a,-,-,r,-,-,i
nyun1247,-,-,-,-,-,-,n,-,-,-,-,-,-,a,n,-,-,-,-,-,-,a,-,-,m,-,-,-
warl1255,-,-,-,-,-,-,N,-,-,-,a,-,-,-,y,-,-,-,-,-,-,u,-,-,-,-,-,-
warl1254,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,-,i,m,p,-,-,a,-,-,-,-,-,-
waru1265,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,k,-,-,u,-,-,l,-,-,-
guri1247,-,-,-,-,-,-,N,-,-,-,a,-,-,-,n,t,i,-,p,-,-,a,-,-,-,-,-,-
