language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
gami1243,-,b,-,-,-,-,-,-,-,-,a,r,-,-,-,u,-,-,-,-,-,-,m,-,-,b,-,-,-,-,a,l,u
gami1243,-,b,-,-,-,-,-,-,-,-,a,r,-,-,-,u,-,-,-,-,-,-,m,-,-,b,-,-,-,-,a,l,u
wira1262,-,w,-,-,-,-,-,-,-,-,u,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
kumb1268,-,m,-,-,-,-,-,-,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,-
darl1243,-,p,-,-,-,-,-,-,-,-,u,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
marg1253,-,g,-,-,-,-,-,-,-,-,u,l,y,a,g,u,-,-,-,-,-,-,l,-,-,y,-,-,-,-,a,-,-
kuku1280,-,p,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,a,-,-
wikm1247,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,a,n,-
kuuk1238,-,-,-,-,-,-,-,-,-,-,u,l,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-
gurd1238,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,l,x
ngaa1240,-,p,a,w,u,n,-,p,a,w,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-
pint1251,-,w,a,-,-,-,-,w,a,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-
pint1250,-,5,-,-,-,-,-,-,-,-,u,r,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-
kuka1246,-,r,a,-,-,m,-,b,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
nyam1271,-,T,-,-,-,-,-,-,-,-,u,r,-,-,-,u,k,a,t,i,y,a,m,-,-,p,-,-,-,-,a,-,-
nyan1301,-,T,a,-,-,r,-,-,-,-,u,r,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mart1256,-,k,a,-,-,l,-,y,-,-,u,r,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-
kara1476,d,T,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhar1247,-,w,a,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
nyun1247,-,b,-,-,-,-,-,-,-,-,i,d,-,-,-,-,-,a,-,-,-,-,-,-,-,b,-,-,-,-,a,p,-
warl1254,-,r,a,-,-,m,-,p,a,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-
waru1265,-,-,-,-,-,m,-,-,a,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
jaru1254,-,r,a,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-
dier1241,-,N,a,-,-,r,u,k,-,-,u,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
yand1253,-,d,a,-,-,n,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yann1237,-,b,-,-,-,-,-,-,-,-,a,l,-,-,-,N,k,a,y,i,-,-,-,-,-,4,-,-,-,-,a,-,-
djin1253,-,b,-,-,-,-,-,-,-,-,i,L,-,-,-,-,b,a,L,i,-,-,-,-,-,N,-,-,-,-,i,-,-
waga1260,-,p,-,-,-,-,-,-,-,-,i,l,-,-,-,i,-,-,-,-,-,-,n,T,i,4,a,w,u,r,u,-,-
yany1243,-,b,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,i,-,-
kala1377,-,d,a,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
alya1239,a,p,-,-,-,-,-,-,-,-,e,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,p,-
