language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
gami1243,-,m,-,-,-,-,i,5,-,-,-,-,-,a,-,-
gami1243,-,m,-,-,-,-,i,5,-,-,-,a,m,a,-,-
wira1262,-,m,-,-,-,-,i,5,-,-,-,-,-,a,-,N
wang1291,-,m,-,-,-,-,i,5,-,-,-,-,-,a,-,-
muru1266,-,m,-,-,-,-,i,n,-,-,-,-,T,a,-,n
kumb1268,-,m,-,-,-,-,i,5,-,-,-,-,-,a,-,-
darl1243,-,m,-,-,-,-,i,n,-,-,-,-,-,a,-,-
guny1241,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
marg1253,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
kung1258,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
gugu1255,-,N,-,-,-,-,a,n,-,-,-,-,-,a,-,y
kuku1273,-,w,-,-,-,-,a,5,-,-,-,-,-,u,-,-
dyaa1242,-,-,-,-,-,-,-,5,-,-,-,-,-,i,-,-
yidi1250,-,w,-,-,-,-,a,5,-,-,-,-,-,a,-,-
dyir1250,-,m,-,-,-,-,i,5,-,-,-,-,-,a,-,-
paka1251,-,N,-,-,-,-,a,4,-,-,-,-,-,i,-,-
wikm1247,-,N,-,-,-,-,e,n,-,-,-,-,-,-,-,-
umpi1239,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
kuuk1238,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
kanj1260,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
gurd1238,-,-,-,-,-,-,-,n,-,-,-,-,-,e,-,y
ngaa1240,-,5,-,-,-,-,a,p,-,-,-,-,-,a,7,7
pint1251,-,5,-,-,-,-,a,-,-,-,-,-,-,-,-,-
pitj1243,-,5,-,-,-,-,a,-,-,-,-,-,-,-,-,-
pint1250,-,5,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kuka1246,-,N,-,-,-,-,a,n,-,-,-,-,-,a,-,-
nyam1271,-,N,-,-,-,-,a,n,-,-,-,-,-,a,-,-
nyan1301,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
mart1256,-,5,-,-,-,-,-,-,-,-,-,-,-,a,-,-
wanm1242,-,N,-,-,-,-,a,n,-,-,-,-,-,a,-,-
kara1476,-,N,-,-,-,-,a,n,-,-,-,-,-,a,-,-
kara1476,-,N,-,-,-,-,a,n,-,-,-,-,-,a,-,-
nhan1238,-,4,-,-,-,-,a,-,-,-,-,-,-,-,-,-
waja1257,-,4,-,-,-,-,a,-,-,-,-,-,-,-,-,-
bayu1240,-,4,-,-,-,-,a,d,-,-,-,-,-,u,-,-
dhal1245,-,4,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dhar1247,-,4,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kurr1243,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
ngar1287,-,4,-,-,-,-,a,l,-,-,-,-,-,a,-,-
yind1247,-,N,-,-,-,-,a,n,-,-,-,-,-,i,-,-
nyun1247,-,N,-,-,-,-,a,d,-,-,-,-,y,a,-,-
warl1255,-,N,-,-,-,-,a,n,-,-,-,-,-,a,-,-
warl1254,-,5,-,-,-,-,i,y,-,-,-,-,-,a,7,7
waru1265,-,5,-,-,-,-,a,y,-,-,-,-,-,i,7,7
guri1247,-,5,-,-,-,-,a,m,-,-,-,-,p,a,-,-
ngar1235,-,5,-,-,-,-,a,m,b,a,w,a,L,a,7,7
mudb1240,-,N,-,-,-,-,a,d,-,-,-,a,r,a,-,-
jaru1254,-,n,-,-,-,T,a,r,-,-,-,-,-,o,-,-
adny1235,-,4,a,N,a,t,a,4,-,-,-,-,-,a,-,-
naru1238,-,-,-,-,-,-,a,n,-,-,-,-,-,i,-,-
dier1241,-,m,-,-,-,-,i,4,-,-,-,-,-,a,-,-
yand1253,-,m,-,-,-,-,i,4,-,-,-,-,-,a,-,-
dhuw1249,-,4,-,-,-,-,-,-,-,-,-,-,-,E,-,-
djam1256,-,4,-,-,-,-,-,-,-,-,-,-,-,a,-,-
gupa1247,-,4,-,-,-,-,-,-,-,-,-,-,-,E,-,-
guma1253,-,4,-,-,-,-,-,-,-,-,-,-,-,E,-,-
dhan1270,-,4,-,-,-,-,-,-,-,-,-,-,-,E,-,-
dayi1244,-,4,-,-,-,-,-,-,-,-,-,-,-,E,-,-
rita1239,-,4,-,-,-,-,-,-,-,-,-,-,-,a,-,-
yann1237,-,4,-,-,-,-,-,-,-,-,-,-,-,E,-,-
djin1253,-,5,-,-,-,-,i,m,-,-,-,-,-,i,-,-
waga1260,-,4,-,-,-,-,a,N,-,-,-,-,-,a,-,L
yany1243,-,N,-,-,-,-,a,l,-,-,-,-,-,i,-,-
kala1377,-,m,i,-,-,-,a,-,-,-,-,-,-,i,-,-
alya1239,e,l,-,-,-,-,e,k,-,-,-,-,-,e,-,-
ande1247,i,l,-,-,-,-,e,k,-,-,-,-,-,-,-,-
west2441,i,w,-,-,-,-,e,4,-,-,-,-,-,e,-,-
