language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
piap1246,-,-,k,-,-,-,-,u,-,l,-,-,i,-,b,-,a,-,-,u,-,-
acha1250,-,-,w,-,-,-,-,i,-,t,e,n,i,-,S,-,-,-,-,i,-,-
curr1243,-,-,t,-,-,-,-,o,-,-,-,-,i,-,d,-,a,-,-,-,-,-
yucu1253,-,-,-,-,-,-,-,i,-,n,-,-,e,-,h,-,-,-,-,i,-,-
cabi1241,-,-,-,-,-,-,-,-,-,n,-,-,i,-,-,-,-,-,-,-,-,-
resi1247,n,e,t,-,-,-,-,e,-,t,s,h,i,-,7,-,-,-,-,o,-,-
wayu1243,-,-,-,-,-,-,-,-,-,m,-,-,a,-,p,-,3,-,-,i,-,-
guah1255,-,-,t,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,3,t,o
cuib1242,-,-,t,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,3,-,-
play1240,-,-,t,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,3,t,o
maca1259,-,-,t,-,-,-,-,a,-,-,-,-,a,-,r,-,-,-,-,a,t,-
guay1257,-,-,t,-,-,-,-,3,-,-,-,-,a,-,7,-,-,-,-,a,n,-
sali1298,-,-,h,-,-,-,-,u,-,-,-,-,-,-,w,-,o,-,-,o,-,-
mini1256,-,u,-,-,-,-,b,o,-,m,-,-,a,-,-,-,-,-,-,-,-,-
nupo1240,-,u,-,-,-,-,b,o,-,m,-,-,a,-,-,-,-,-,-,-,-,-
muru1274,-,u,-,-,-,-,b,o,-,m,-,-,a,-,-,-,-,-,-,-,-,-
ocai1244,-,o,7,-,-,-,p,o,-,x,-,-,a,-,k,-,-,-,-,o,-,-
muin1242,-,-,g,-,-,-,-,a,a,5,-,-,i,-,7,-,-,-,-,u,-,-
bora1263,-,-,k,-,-,-,w,a,a,n,-,-,i,-,7,-,y,-,-,o,-,-
bora1263,-,-,k,-,-,-,w,a,7,y,-,-,e,-,x,-,-,-,-,3,-,-
bora1263,-,-,k,-,-,-,w,a,a,n,-,-,i,-,7,-,-,-,-,o,-,-
yuru1263,-,-,k,-,-,-,-,i,-,-,-,-,a,-,w,-,-,-,-,3,-,-
tuyu1244,-,-,k,-,-,-,-,i,-,-,-,-,a,-,w,-,-,-,-,3,-,-
waim1255,-,-,-,-,-,-,-,i,-,-,-,-,a,-,b,-,-,-,-,3,-,-
waim1255,-,-,k,-,-,-,-,i,-,-,-,-,a,-,b,-,-,-,-,3,-,-
cara1272,-,-,-,-,-,-,-,i,-,y,-,-,a,-,b,-,-,-,-,3,-,-
tatu1247,-,-,-,-,-,-,-,i,-,-,-,-,a,-,b,-,-,-,-,3,-,-
bara1380,-,-,g,-,-,-,-,i,-,-,-,-,a,-,b,-,-,-,-,3,-,-
macu1260,-,-,g,-,-,-,-,i,-,-,-,-,a,-,b,-,-,-,-,3,-,-
guan1269,-,-,k,-,-,-,-,3,-,7,-,-,a,i,r,-,-,-,-,o,-,-
