language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
piap1246,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,m,-,-,a,-,i,-
curr1243,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,m,-,-,a,-,i,-
tari1256,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,m,-,-,a,-,i,-
yucu1253,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,i,N
yucu1253,-,-,-,-,h,i,p,u,7,u,-,-,-,-,-,h,-,-,m,-,-,a,-,-,-
resi1247,-,-,-,-,m,e,p,-,-,o,-,-,-,-,-,-,-,-,k,-,-,o,-,-,-
guah1255,-,-,-,-,k,-,-,-,-,o,w,-,-,a,-,r,-,a,b,-,-,o,-,-,-
guah1255,-,-,-,-,s,-,-,-,-,i,-,-,-,-,-,r,-,i,b,-,-,o,-,-,-
guah1255,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,l,u,i,t,-,-,o,-,-,-
cuib1242,-,-,-,-,k,-,-,-,-,o,w,-,-,a,-,r,-,a,b,-,-,o,-,-,-
play1240,-,-,-,-,-,-,-,-,-,-,w,a,k,a,-,r,-,-,t,-,-,o,-,-,-
maca1259,-,-,-,-,k,-,-,-,-,u,w,-,-,a,-,r,-,-,-,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,e,7,-,-,-,-,-,-
sali1298,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,l,-,i,w,a,n,a,-,-,-
mini1256,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-,-,-,u,N,-,-,o,-,-,-
nupo1240,-,-,-,-,t,e,r,-,-,o,b,-,-,-,-,-,-,e,5,-,-,o,-,-,-
muru1274,-,-,-,-,-,-,-,-,-,u,m,-,-,-,-,-,-,u,5,-,-,o,-,-,-
ocai1244,-,-,-,-,d,-,y,-,-,o,7,-,-,-,-,y,-,o,7,-,x,o,-,-,-
muin1242,-,-,-,-,n,-,-,-,-,i,-,-,-,-,-,-,-,-,t,-,-,a,-,-,-
bora1263,-,-,-,-,n,-,-,-,-,i,h,-,-,-,-,y,-,a,h,-,-,3,-,-,-
bora1263,-,-,-,-,k,-,-,-,-,-,w,-,-,a,x,y,-,o,x,-,-,3,-,-,-
yuru1263,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
tuyu1244,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
waim1255,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
waim1255,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
cara1272,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
tatu1247,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
bara1380,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-
macu1260,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,y,-,-,-,-,-,u,g,a,-
guan1269,-,-,-,-,b,-,-,-,-,3,-,-,-,-,-,7,-,-,-,-,-,3,-,-,-
pira1254,-,-,-,-,b,-,-,-,-,3,-,-,-,-,-,7,-,-,-,-,-,3,-,-,-
tuca1252,-,-,-,-,b,-,-,-,-,3,-,-,-,-,-,7,-,-,-,-,-,3,-,-,-
desa1247,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-
siri1274,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-
tani1257,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,y,-,u,-,-,-,a,-,-,-
cube1242,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,y,-,u,b,-,-,o,-,-,-
kore1283,-,-,-,-,p,-,-,-,-,u,-,-,-,-,-,5,-,-,-,-,-,u,-,-,-
sion1247,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-
seco1241,-,-,-,-,p,-,-,-,-,o,-,-,-,-,-,y,-,-,-,-,-,u,-,-,-
orej1242,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,h,-,-,-,-,-,i,-,-,-
cacu1241,-,-,-,-,d,-,-,-,-,3,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-
nuka1242,-,-,-,-,7,-,-,-,-,E,-,-,-,-,-,7,-,-,n,-,-,i,-,-,-
puin1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
puin1248,s,a,r,a,p,-,-,-,-,a,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-
embe1260,t,-,-,-,h,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
nort2972,t,-,-,-,h,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
epen1239,t,-,-,-,h,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
epen1239,t,-,-,-,h,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
embe1261,t,-,-,-,h,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
embe1262,t,-,-,-,h,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
woun1238,k,-,-,-,h,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,a,-,r,-
cari1279,-,-,-,-,h,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,e,-,-,-
