language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
piap1246,-,-,b,-,e,-,s,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
curr1243,-,-,m,-,a,-,w,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tari1256,-,-,t,-,-,-,s,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,d,-,o,-,a,-,-,-,-,-
yucu1253,-,-,k,-,a,a,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
resi1247,-,i,t,-,-,-,s,-,-,-,-,-,-,-,h,-,i,-,-,-,-,-,-,-,-,k,-,-,-,o,-,-,-,-,-
wayu1243,-,-,-,-,i,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
wayu1243,-,-,m,a,a,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-
guah1255,-,-,m,-,u,-,s,-,-,-,-,-,u,-,l,-,i,-,-,-,-,-,b,o,-,t,-,-,-,o,-,-,-,-,-
cuib1242,-,-,m,-,u,-,s,-,-,-,-,-,o,-,-,-,i,-,-,-,-,-,b,o,-,t,-,-,-,o,-,-,-,-,-
play1240,-,-,m,-,u,-,s,-,-,-,-,-,u,-,l,-,i,-,-,-,-,-,b,o,-,t,-,-,-,o,-,-,-,-,-
guay1257,-,-,m,-,-,-,-,-,-,-,-,-,a,k,l,-,e,-,-,-,-,-,h,a,d,t,-,-,-,-,-,-,-,-,-
sali1298,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,u,d,a,d,o,k,w,a,-,7,d,Z,-,a,-,-,-,-,-
sali1298,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,u,d,a,d,o,k,w,a,-,7,-,-,-,a,-,-,-,-,-
mini1256,-,-,-,-,-,-,k,-,-,-,-,-,a,-,n,-,i,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,u,-
nupo1240,-,-,-,-,-,-,k,-,-,-,-,-,a,-,n,-,i,-,-,-,-,-,-,-,-,d,-,-,-,a,-,-,-,-,-
muru1274,-,-,-,-,-,-,8,-,-,-,-,-,u,-,k,-,u,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,u,-
ocai1244,-,-,p,-,o,-,k,-,-,-,-,-,a,-,n,-,u,-,-,-,-,-,-,-,-,7,t,y,-,a,-,-,-,-,-
muin1242,-,-,b,-,-,-,-,-,-,-,-,-,u,-,-,-,i,-,-,-,-,-,-,-,-,g,-,-,-,a,-,-,-,-,-
bora1263,n,e,p,-,-,-,h,-,-,-,-,-,a,-,x,-,y,-,-,-,-,-,-,u,-,x,-,-,-,3,-,-,-,-,-
bora1263,n,e,p,-,-,-,h,-,-,-,-,-,a,-,h,-,i,-,-,-,-,-,-,u,-,p,-,-,-,a,-,-,-,-,-
yuru1263,-,-,y,-,u,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,b,e,-,d,-,-,-,e,-,-,-,-,-
tuyu1244,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,3,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,3,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,3,-,-,-,-,-
cara1272,-,-,y,-,u,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,b,e,-,d,-,-,-,e,-,-,-,-,-
tatu1247,-,-,y,-,u,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,b,e,-,d,-,-,-,e,-,-,-,-,-
bara1380,-,-,y,-,u,-,k,-,-,-,-,-,a,-,b,-,i,-,-,-,-,-,b,-,-,-,-,-,-,i,-,-,-,-,-
macu1260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,i,-,-,-,-,-,b,i,-,r,-,-,-,e,-,-,-,-,-
