language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
ngab1239,-,-,-,-,k,o,-,-,-,-,-,-,-,-,-,i,-
bugl1243,-,-,-,-,n,o,-,-,-,-,-,-,-,-,-,-,-
chim1309,b,e,-,-,N,a,-,-,-,-,-,-,-,-,t,e,-
brib1243,-,-,-,-,b,u,-,-,-,-,-,-,-,a,-,a,7
cabe1245,-,-,-,-,b,u,-,-,-,-,-,-,-,u,-,i,-
teri1250,-,k,-,-,h,o,-,-,-,-,-,-,-,o,b,e,-
male1297,m,a,r,a,l,a,p,a,r,-,i,-,-,-,N,a,-
sanb1242,-,-,-,-,n,u,-,e,t,-,i,-,-,-,-,-,-
rama1270,m,a,-,-,l,-,-,-,-,-,i,-,-,-,m,a,-
cogu1240,-,-,-,-,h,a,n,-,t,S,i,-,d,d,Z,e,-
mala1522,-,-,-,-,Z,-,-,-,-,-,i,k,k,o,k,a,-
arhu1242,-,-,-,-,d,-,-,-,-,-,u,-,k,a,w,a,-
pech1241,-,a,-,a,y,-,-,-,-,-,-,-,-,a,-,a,-
bari1297,-,-,-,-,s,a,b,a,-,-,i,-,-,-,n,i,-
maya1285,-,-,-,-,y,a,m,-,-,-,-,-,-,-,n,i,-
ulwa1239,-,-,-,-,y,a,m,-,-,-,-,-,-,-,k,a,-
misk1235,-,-,-,-,y,a,m,-,-,-,-,-,-,-,n,i,-
