language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
ngab1239,-,-,-,-,m,e,-,y,-,e,-,-,-,-
bugl1243,t,-,-,-,S,e,-,b,-,i,-,-,-,-
chim1309,k,-,a,h,m,a,-,n,t,a,-,-,-,-
brib1243,-,-,a,-,b,i,-,-,-,i,-,-,-,-
cabe1245,-,-,-,-,b,i,-,-,-,i,d,a,a,a
teri1250,-,-,-,-,m,e,-,-,-,e,-,-,-,-
male1297,-,-,-,-,-,-,-,s,-,u,-,-,-,-
sanb1242,-,-,-,-,n,a,-,n,-,a,-,-,-,-
rama1270,-,-,-,-,-,a,i,r,-,u,-,-,-,N
mala1522,-,-,-,-,-,a,-,b,-,u,-,-,-,-
pech1241,k,a,a,-,k,i,-,-,-,i,-,-,-,-
bari1297,-,-,a,-,b,a,-,m,-,a,-,-,-,-
maya1285,i,-,-,-,-,-,-,t,-,a,-,-,-,N
ulwa1239,i,-,-,-,-,-,-,t,-,a,-,-,-,N
misk1235,y,-,a,-,p,-,-,t,-,i,-,-,-,-
