language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
ngab1239,i,s,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
bugl1243,-,s,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
chim1309,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
brib1243,-,d,Z,i,-,-,-,-,i,-,-,-,k,-,-,-,-
cabe1245,-,d,Z,i,-,-,-,-,i,-,-,-,k,-,-,-,-
teri1250,-,-,n,e,-,-,-,-,e,-,-,-,k,u,o,-,o
male1297,-,t,-,a,-,-,-,-,i,-,-,-,k,-,-,-,i
sanb1242,-,-,-,a,-,-,s,-,u,-,-,-,-,-,-,-,-
rama1270,-,t,-,a,-,-,-,-,i,-,-,-,k,-,-,-,-
cogu1240,-,-,-,-,-,-,h,-,u,n,n,u,k,-,a,l,a
mala1522,-,m,-,i,-,-,S,-,u,-,-,u,-,-,-,-,a
arhu1242,-,m,-,i,-,s,s,-,u,-,-,N,-,-,-,-,3
pech1241,-,t,-,a,a,y,s,a,a,-,-,-,-,-,-,-,-
bari1297,-,n,-,i,-,-,s,-,a,-,-,-,-,-,-,-,-
maya1285,-,n,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-
ulwa1239,-,n,-,a,-,n,t,-,a,-,-,-,k,-,-,-,-
misk1235,-,-,-,-,-,-,k,-,a,-,-,-,k,-,-,m,a
