language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
boru1252,-,-,-,e,-,e,7,-,t,s,-,-,-,i,-
chim1309,-,-,-,-,-,-,-,-,t,-,-,-,-,e,-
dora1242,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-
ngab1239,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-
bugl1243,-,-,-,i,-,-,-,-,t,-,-,-,-,e,-
brib1243,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-
cabe1245,-,-,-,-,-,-,-,-,e,-,-,-,-,e,-
teri1250,-,-,-,-,-,-,-,-,r,-,-,-,-,a,-
male1297,-,-,-,a,n,a,k,a,t,S,-,u,m,a,-
sanb1242,k,-,w,e,n,-,-,-,-,-,-,-,-,a,-
rama1270,-,-,-,-,-,-,-,-,-,s,a,i,m,i,N
mala1522,-,-,-,i,n,-,g,-,-,-,-,w,-,i,-
chib1270,-,-,-,a,-,-,-,-,t,-,-,-,-,a,-
bari1297,-,-,-,i,-,-,-,-,t,-,-,-,-,o,u
maya1285,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-
ulwa1239,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-
caca1247,-,-,b,a,-,-,-,-,s,-,-,-,-,-,-
misk1235,k,u,m,i,-,-,-,-,-,-,-,-,-,-,-
lenc1242,-,-,p,i,-,-,-,-,s,-,-,-,-,-,-
lenc1243,-,-,-,e,-,-,-,-,t,-,-,-,-,a,-
pech1241,-,-,-,a,-,a,-,-,s,-,-,-,-,-,-
