language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
ngab1239,-,m,-,-,-,-,e,-,-,-,-,-,-,r,i,-,-,-,-
bugl1243,-,m,-,-,-,-,u,-,-,-,-,-,-,-,i,-,N,a,-
chim1309,d,Z,-,-,-,-,u,-,-,-,-,-,-,w,i,-,r,i,-
brib1243,-,-,-,-,-,-,a,-,-,L,a,a,k,-,u,-,-,u,L
cabe1245,-,-,-,-,-,-,a,-,-,L,a,a,k,L,u,-,-,u,-
teri1250,-,-,-,-,-,-,u,-,-,-,a,a,-,L,i,-,-,i,-
male1297,-,k,u,r,i,x,u,-,-,-,-,-,-,r,-,-,-,i,-
sanb1242,-,-,-,-,-,-,o,-,-,-,-,-,-,m,-,-,-,e,-
rama1270,-,k,-,-,-,-,u,-,-,-,-,-,-,m,-,-,-,a,-
arhu1242,-,-,-,-,-,-,a,-,-,7,-,-,m,m,i,-,-,a,-
pech1241,-,k,-,-,-,-,o,o,r,t,a,-,-,-,-,-,-,a,-
cent2150,-,-,-,-,-,-,w,-,-,-,-,-,-,-,i,w,w,a,-
bari1297,-,b,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,o,-
maya1285,-,y,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-
ulwa1239,-,y,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-
misk1235,-,m,-,-,-,-,a,-,-,y,-,-,-,r,-,-,-,i,n
