language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
huay1241,-,-,a,7,-,t,S,-,-,a
jauj1238,-,-,a,7,-,t,S,-,-,a
yauy1235,-,-,a,X,-,t,S,-,-,a
hual1241,-,-,a,X,-,t,S,-,-,a
coro1247,-,-,a,q,-,t,s,-,-,a
paca1245,-,-,a,X,-,-,s,-,-,a
caja1238,-,-,a,X,-,t,S,-,-,a
lamb1276,-,-,a,X,-,t,S,-,-,a
napo1242,-,-,a,k,-,t,S,-,-,a
tena1240,-,-,a,k,-,t,S,-,-,a
sout2990,t,S,u,k,-,t,S,-,-,a
imba1240,-,-,a,k,-,t,S,-,-,a
inga1252,-,-,a,x,-,t,S,-,-,a
cusc1236,t,S,u,x,-,t,S,-,-,a
puno1238,t,S,u,x,-,t,S,-,-,a
east2551,t,S,u,k,-,t,S,-,-,a
ayac1239,t,S,u,k,-,t,S,-,-,a
sout2991,t,S,u,x,-,t,S,-,-,a
sant1432,t,S,u,x,-,t,S,-,-,a
chac1250,t,S,u,x,-,t,S,-,-,a
sanm1289,t,S,u,k,-,t,S,-,-,a
jaqa1244,n,-,u,k,u,t,-,-,-,a
cauq1239,n,-,u,k,u,t,S,-,-,a
chip1262,-,-,-,-,-,t,S,a,r,a
