language,x1,x2,x3,x4,x5,x6,x7,x8,x9
urui1234,-,-,p,-,i,-,l,a,-
tsim1260,-,-,t,-,i,-,r,a,-
chip1262,p,-,h,-,i,-,l,a,-
imba1240,-,-,t,-,i,-,y,u,-
azua1234,-,-,t,-,i,-,y,u,-
nort3351,-,-,t,h,i,-,y,u,-
tena1240,-,-,t,s,a,t,s,a,-
sout2990,-,-,t,-,i,-,y,u,-
clas1251,-,-,t,-,i,-,y,o,-
apol1241,-,a,q,-,-,-,-,u,-
puno1238,-,a,q,-,-,-,-,u,-
cusc1236,-,a,q,-,-,-,-,u,-
east2551,-,a,q,-,-,-,-,o,-
sout2991,-,-,t,-,i,-,y,u,-
coch1274,-,-,t,-,i,-,y,u,-
sant1432,-,-,t,-,i,-,y,u,-
huan1249,-,a,X,-,-,-,-,u,-
ayac1239,-,a,X,-,-,-,-,o,-
azan1238,-,a,q,-,-,-,-,o,-
sanp1258,-,a,q,-,-,-,-,o,-
apur1253,-,a,q,-,-,-,-,o,-
tana1291,-,a,q,-,-,-,-,o,-
cacr1238,-,a,q,-,-,-,-,o,-
yauy1235,-,a,q,-,-,-,-,u,-
chac1250,-,-,t,-,i,-,y,u,-
sanm1289,-,-,t,-,i,-,y,u,-
huay1241,-,a,7,-,-,-,-,u,-
jauj1238,-,a,7,-,-,-,-,u,-
yaru1256,S,o,X,-,-,-,y,a,-
hual1241,-,a,q,-,-,-,-,u,S
huai1241,-,a,L,-,-,-,p,a,-
coro1247,-,a,q,-,-,-,-,u,-
caja1238,-,a,X,-,-,-,-,u,-
lamb1276,-,a,X,-,-,-,-,u,-
jaqa1244,-,a,q,-,-,-,-,u,-
cauq1239,-,a,q,-,-,-,-,u,-
