language,x1,x2,x3,x4,x5,x6,x7
urui1234,-,a,m,t,s,a,i
tsim1260,-,a,m,-,-,a,-
chip1262,-,a,m,-,-,-,-
imba1240,k,a,n,-,-,-,-
azua1234,k,a,n,-,-,-,-
nort3351,k,a,n,-,-,-,-
napo1242,k,a,n,-,-,-,-
tena1240,k,a,n,-,-,-,-
sout2990,k,a,n,-,-,-,-
inga1252,k,a,m,-,-,-,-
clas1251,k,a,m,-,-,-,-
apol1241,q,a,n,-,-,-,-
puno1238,q,a,n,-,-,-,-
cusc1236,q,a,n,-,-,-,-
east2551,q,a,n,-,-,-,-
sout2991,q,a,n,-,-,-,-
coch1274,X,a,n,-,-,-,-
sant1432,q,a,m,-,-,-,-
huan1249,X,a,m,-,-,-,-
ayac1239,X,a,m,-,-,-,-
azan1238,q,a,m,-,-,-,-
sanp1258,q,a,m,-,-,-,-
apur1253,q,a,m,-,-,-,-
tana1291,q,a,m,-,-,-,-
cacr1238,q,a,m,-,-,-,-
yauy1235,q,a,m,-,-,-,-
chac1250,k,a,m,-,-,-,-
sanm1289,k,a,m,-,-,-,-
huay1241,q,a,m,-,-,-,-
jauj1238,q,a,m,-,-,-,-
paca1245,X,a,m,-,-,-,-
yaru1256,X,a,m,-,-,-,-
hual1241,q,a,m,-,-,-,-
huai1241,q,a,m,-,-,-,-
coro1247,q,a,m,-,-,-,-
caja1238,q,a,m,-,-,-,-
lamb1276,x,a,m,-,-,-,-
jaqa1244,h,u,m,-,-,a,-
cauq1239,h,u,m,-,-,a,-
