language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
chip1262,-,q,-,-,h,a,-,-,r,-,-,-,-,-,a,-,-
imba1240,-,-,-,-,-,a,-,-,l,-,-,-,-,-,a,-,s
nort3351,-,-,-,-,-,a,-,-,l,-,-,-,-,-,a,-,s
napo1242,-,-,-,-,r,i,-,g,r,-,-,-,-,-,a,-,-
tena1240,-,-,-,-,r,i,-,X,r,a,p,a,n,g,a,-,-
sout2990,-,-,-,-,r,i,-,g,r,-,-,-,-,-,a,-,-
inga1252,u,g,L,a,r,i,s,k,-,-,-,-,-,-,a,-,-
clas1251,-,-,-,-,r,i,-,k,r,-,-,-,-,-,a,-,-
apol1241,-,-,-,-,l,i,-,x,r,-,-,-,-,-,a,-,-
puno1238,-,-,-,-,r,i,-,x,r,-,-,-,-,-,a,-,-
cusc1236,-,-,-,-,r,a,-,p,r,-,-,-,-,-,a,-,-
east2551,-,-,-,-,p,a,-,-,r,-,p,-,-,-,a,-,-
east2551,-,-,-,-,r,a,-,p,r,-,-,-,-,-,a,-,-
sout2991,-,-,-,-,l,i,-,x,r,-,-,-,-,-,a,-,-
coch1274,-,-,-,-,l,i,-,x,r,-,-,-,-,-,a,-,-
coch1274,-,-,-,-,l,i,-,X,r,-,-,-,-,-,a,-,-
sant1432,-,-,-,-,l,i,-,x,r,-,-,-,-,-,a,-,-
huan1249,-,-,-,-,r,a,-,p,r,-,-,-,-,-,a,-,-
ayac1239,-,-,-,-,r,a,-,p,r,-,-,-,-,-,a,-,-
azan1238,-,-,-,-,r,i,-,k,r,-,-,-,-,-,a,-,-
sanp1258,-,-,-,-,r,i,-,k,r,-,-,-,-,-,a,-,-
apur1253,-,-,-,-,r,i,-,k,r,-,-,-,-,-,a,-,-
tana1291,-,-,-,-,l,i,-,k,l,-,-,-,-,-,a,-,-
cacr1238,-,-,-,-,S,i,-,k,l,-,-,-,-,-,a,-,-
yauy1235,-,-,-,-,l,i,-,k,r,-,-,-,-,-,a,-,-
chac1250,-,-,-,-,r,i,-,k,r,-,-,-,-,-,a,-,-
sanm1289,-,-,-,-,r,i,-,k,r,-,-,-,-,-,a,-,-
huay1241,-,-,-,-,l,a,-,p,l,-,-,-,-,-,a,-,-
jauj1238,-,-,-,-,l,a,-,p,l,-,-,-,-,-,a,-,-
yaru1256,-,Z,-,-,r,a,-,p,r,-,-,-,-,-,a,-,-
hual1241,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,p,a
huai1241,-,-,-,-,r,i,-,k,r,-,-,-,-,-,a,-,-
coro1247,-,-,-,-,-,a,-,-,l,-,-,-,-,-,a,-,-
caja1238,-,-,-,-,-,a,-,-,l,-,-,-,-,-,a,-,-
lamb1276,-,-,-,-,-,a,-,-,l,-,-,-,-,-,a,-,-
jaqa1244,-,-,-,-,k,a,-,k,-,-,-,-,-,-,a,-,-
cauq1239,-,-,-,-,k,a,-,k,-,-,-,-,-,-,a,-,-
