language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
chip1262,t,u,-,-,-,-,-,r,-,-,-,-,-
imba1240,-,-,w,a,-,-,-,r,m,-,-,i,-
azua1234,-,-,w,a,-,-,-,-,m,b,r,a,-
nort3351,-,-,w,a,-,-,-,-,m,b,r,a,-
napo1242,-,-,m,a,l,-,-,t,-,-,-,a,-
tena1240,-,-,m,a,l,-,-,t,-,-,-,a,-
sout2990,S,i,p,a,-,-,-,s,-,-,-,-,-
inga1252,s,i,p,a,-,-,-,s,-,-,-,-,-
clas1251,s,i,p,a,-,-,-,s,-,-,-,-,-
apol1241,s,i,p,a,-,-,-,s,-,-,-,-,-
puno1238,s,i,p,a,-,-,-,s,-,-,-,-,-
cusc1236,s,i,p,a,-,-,-,s,-,-,-,-,-
east2551,s,i,p,a,-,-,-,s,-,-,-,-,-
sout2991,s,i,p,a,-,-,-,s,-,-,-,-,-
coch1274,s,i,p,a,-,-,-,s,-,-,-,-,-
sant1432,s,i,p,a,-,-,-,s,-,-,-,-,-
huan1249,s,i,p,a,-,-,-,s,-,-,-,-,-
ayac1239,-,-,p,a,-,-,-,s,5,-,-,a,-
ayac1239,s,i,p,a,-,-,-,s,-,-,-,-,-
azan1238,S,i,p,a,-,-,-,S,-,-,-,-,-
sanp1258,S,i,p,a,-,-,-,S,-,-,-,-,-
apur1253,S,i,p,a,-,-,-,S,-,-,-,-,-
tana1291,S,i,p,a,-,-,-,S,-,-,-,-,-
cacr1238,S,i,p,a,-,-,-,S,-,-,-,-,-
yauy1235,s,i,p,a,-,-,-,s,-,-,-,-,-
chac1250,S,i,p,a,-,-,-,S,-,-,-,-,-
sanm1289,S,i,p,a,-,-,-,S,-,-,-,-,-
huay1241,w,-,-,a,m,-,-,l,-,-,-,a,-
huay1241,l,-,-,a,-,-,-,s,-,-,-,a,k
jauj1238,w,-,-,a,m,-,-,l,-,-,-,a,-
paca1245,r,a,X,a,-,-,-,k,-,-,-,-,-
paca1245,x,i,p,a,-,-,-,S,-,-,-,-,-
yaru1256,X,e,b,a,-,-,-,S,-,-,-,-,-
hual1241,-,-,w,a,n,k,a,S,-,-,-,-,-
huai1241,S,i,p,a,-,-,-,S,-,-,-,-,-
coro1247,S,i,p,a,-,-,-,S,-,-,-,-,-
caja1238,S,i,p,a,-,-,-,S,-,-,-,-,-
lamb1276,S,i,p,a,-,-,-,S,-,-,-,-,-
jaqa1244,s,i,p,a,-,-,-,s,-,-,-,a,-
cauq1239,s,i,p,a,-,-,-,s,-,-,-,a,-
