language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
koya1251,-,-,n,-,a,l,-,-,-,-,-,-,-,-,a,-
koya1251,-,-,k,-,a,t,-,-,-,-,-,-,-,-,e,-
telu1262,-,-,n,-,a,l,-,-,-,-,-,-,-,-,a,-
telu1262,-,-,n,-,a,l,-,-,-,u,-,p,-,-,u,-
nort2702,-,-,k,-,a,r,-,-,-,-,-,-,-,-,3,-
nort2699,-,-,d,-,a,r,-,-,-,i,a,t,-,-,e,-
bada1257,-,-,k,-,a,-,-,-,-,-,-,p,-,-,3,-
kota1263,-,-,k,-,a,r,-,-,-,u,-,p,-,-,3,-
koda1255,-,-,k,-,a,r,t,-,-,a,-,d,-,-,3,-
ravu1237,-,-,k,-,a,r,t,-,-,a,-,y,-,-,i,-
nucl1305,-,-,k,-,a,r,-,-,-,-,-,-,-,-,u,-
nucl1305,-,-,k,-,a,p,-,-,-,-,-,-,-,-,u,-
mala1464,-,-,k,-,a,r,-,-,-,u,-,p,-,-,3,-
tami1289,-,-,k,-,a,r,-,-,-,3,-,p,-,-,3,-
bett1235,-,-,k,-,a,r,t,3,n,u,i,p,3,d,3,-
tulu1258,-,-,k,-,a,-,-,-,-,-,-,p,-,-,u,-
toda1252,-,-,k,-,a,-,-,-,-,-,-,p,-,-,3,-
kuvi1243,-,-,k,-,a,d,-,-,-,i,-,-,-,-,a,-
kuru1302,m,o,k,h,a,r,-,-,-,-,-,-,-,-,o,-
saur1249,m,a,d,h,a,r,-,-,-,-,-,-,-,-,o,-
brah1256,-,-,m,-,a,-,-,-,-,-,-,-,-,-,o,n
