language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
pott1240,-,-,-,-,-,-,-,n,i,-,-,a,-,-
duru1236,p,-,-,-,u,-,-,n,-,-,-,-,-,-
koya1251,k,-,-,-,o,-,-,t,-,-,-,a,d,-
telu1262,k,-,-,-,o,-,-,t,-,-,-,a,-,-
nort2702,p,-,-,-,u,-,-,n,-,-,-,a,-,-
nort2699,k,-,-,-,o,-,-,t,-,-,-,a,-,-
bada1257,-,-,-,-,o,s,-,t,-,-,-,-,-,3
kota1263,p,-,-,-,u,-,-,d,i,y,-,a,d,3
koda1255,p,-,-,-,u,-,-,d,i,y,-,a,-,-
ravu1237,p,-,-,-,u,-,-,d,i,y,-,a,-,i
nucl1305,h,-,-,-,o,-,-,s,-,-,-,a,d,u
mala1464,p,-,-,-,u,-,-,d,i,y,-,a,-,-
tami1289,p,-,-,-,u,-,-,d,u,-,-,-,-,-
tami1289,p,-,-,-,u,-,-,d,u,s,-,3,-,-
bett1235,p,-,-,-,3,-,-,y,-,y,m,3,n,-
tulu1258,p,-,-,-,o,s,a,t,-,-,-,a,-,-
toda1252,p,-,-,-,u,-,-,d,u,n,-,-,-,-
kuvi1243,p,-,-,-,u,-,-,n,-,-,-,i,-,-
kuru1302,p,-,-,-,u,-,-,n,-,-,-,a,-,-
saur1249,p,-,-,-,u,-,-,n,-,-,-,a,-,-
brah1256,p,u,s,k,u,-,-,n,-,-,-,-,-,-
