language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
duru1236,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,l,-,-,-,p,-,-,-,-
koya1251,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,l,-,i,-,m,-,a,n,-
koya1251,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,l,-,-,-,-,-,a,-,-
telu1262,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,l,-,a,-,b,-,a,d,u
telu1262,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,l,-,t,-,S,-,o,n,u
nort2702,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,l,-,-,-,-,-,-,-,-
nort2699,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,-,-,-,m,-,a,n,-
bada1257,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,-,-,-,p,-,3,-,-
kota1263,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,n,a,t,u,k,-,3,-,-
koda1255,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,n,-,d,-,-,-,3,-,-
ravu1237,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,n,-,d,-,Z,-,o,-,-
nucl1305,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,n,-,t,i,k,-,o,-,-
mala1464,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,l,-,k,u,g,-,a,-,-
tami1289,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,l,-,-,-,-,-,-,-,-
bett1235,3,d,d,-,-,-,3,n,-,-,-,-,u,-,i,r,-,-,-,-,-,-,-,-
bett1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,L,-,-,-,-,-,-,-,-
tulu1258,u,-,-,-,-,-,-,n,-,-,-,-,t,-,a,r,-,-,-,-,-,a,-,-
toda1252,-,-,-,-,-,-,-,m,u,k,a,d,u,r,i,l,-,-,-,-,-,-,-,-
kuru1302,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,d,-,-,-,Z,n,a,-,-
saur1249,-,-,-,-,-,-,-,h,-,-,-,-,-,-,i,l,-,-,-,p,-,o,-,-
brah1256,-,d,Z,e,k,s,a,l,-,-,-,-,-,-,i,n,-,-,-,g,-,-,-,-
brah1256,-,-,-,-,-,s,a,l,-,-,-,-,-,-,i,n,-,-,-,g,-,-,-,-
