language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
pott1240,-,-,k,-,-,-,a,n,d,-
duru1236,-,-,k,-,-,-,e,-,l,-
koya1251,-,-,r,-,-,-,a,-,y,-
telu1262,-,-,r,-,-,-,a,-,y,i
nort2702,-,-,b,-,-,-,a,n,d,a
nort2699,-,-,g,-,-,-,u,n,d,3
bada1257,-,-,k,-,-,-,a,-,l,3
kota1263,-,-,k,-,-,-,a,-,l,-
koda1255,-,-,k,-,-,-,a,-,l,3
ravu1237,-,-,k,-,-,-,a,-,l,u
nucl1305,-,-,k,-,-,-,a,-,l,u
nucl1305,-,-,k,-,-,-,a,-,l,u
mala1464,-,-,k,-,-,-,a,-,l,3
tami1289,-,-,k,-,-,-,a,-,l,3
bett1235,-,-,k,-,-,-,a,-,l,3
tulu1258,-,-,k,-,-,-,a,-,l,u
toda1252,-,-,k,-,-,-,a,-,r,s
kuvi1243,-,-,v,-,-,-,a,-,l,i
kuru1302,p,a,k,-,h,n,a,-,-,-
saur1249,-,-,g,u,g,-,a,-,-,-
brah1256,-,-,x,-,-,-,a,-,l,-
