language,x1,x2,x3,x4,x5,x6,x7,x8
suri1265,-,k,-,-,-,o,-,-
cent1989,-,k,-,-,-,o,-,-
khmu1256,-,k,-,n,t,3,a,r
monn1253,-,k,-,-,-,o,-,7
semn1250,-,s,a,g,-,o,-,k
lano1248,-,s,a,g,-,u,-,k
temi1246,-,t,a,N,-,3,-,n
temi1246,-,t,a,N,-,3,-,n
sema1266,-,t,a,N,-,E,-,n
jahh1242,-,l,-,N,-,E,-,7
minr1238,-,7,-,N,-,u,-,t
bate1262,-,7,-,N,-,u,-,t
bate1262,-,-,-,N,-,u,-,t
bate1262,-,7,-,N,-,u,-,t
bate1262,-,7,-,N,-,u,-,t
kens1248,-,T,-,n,-,o,-,t
kens1248,-,T,-,n,-,o,-,t
kint1239,-,T,-,n,-,o,-,t
tong1308,-,h,-,-,-,o,-,h
tong1308,d,k,-,d,-,o,-,k
tong1308,-,h,-,-,-,o,-,h
chew1245,-,l,-,N,-,E,-,7
sema1265,-,l,-,N,-,E,-,7
sema1265,-,l,-,N,-,E,-,7
seme1247,-,l,-,N,-,E,-,7
