language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
suri1265,-,k,-,-,3,-,7,u,-,t
cent1989,-,k,-,-,3,-,7,u,o,t
khmu1256,-,h,-,-,3,a,l,-,-,-
monn1253,-,h,-,-,3,-,7,o,-,7
semn1250,-,k,-,-,o,-,7,-,-,-
semn1250,-,k,-,-,o,-,7,-,-,-
lano1248,-,k,-,o,o,-,7,-,-,-
temi1246,-,k,-,-,o,-,7,-,-,-
temi1246,-,k,-,-,o,-,7,-,-,-
sema1266,-,k,-,-,3,-,7,-,-,-
sema1266,-,k,-,-,3,-,7,-,-,-
jahh1242,-,k,7,k,u,-,7,-,-,-
minr1238,-,k,-,-,3,-,7,-,-,-
minr1238,-,k,-,-,3,-,7,-,-,-
bate1262,-,k,-,-,3,-,7,-,-,-
bate1262,-,k,-,-,3,-,7,-,-,-
bate1262,-,k,-,-,3,-,7,-,-,-
bate1262,-,k,-,-,3,-,7,-,-,-
bate1262,-,k,-,-,3,-,7,-,-,-
jeha1242,-,k,-,-,3,-,7,-,-,-
jeha1242,-,k,-,-,3,-,7,-,-,-
kens1248,-,k,-,-,3,-,7,-,-,-
kens1248,-,k,-,-,3,-,7,-,-,-
kint1239,-,k,-,-,3,-,7,-,-,-
tong1308,-,k,-,-,3,-,7,-,-,-
tong1308,b,k,-,-,a,-,h,-,-,-
tong1308,-,k,m,-,3,-,7,-,-,-
chew1245,-,k,-,-,3,-,7,-,-,-
sema1265,-,k,-,-,u,-,7,-,-,-
sema1265,-,k,-,-,u,-,7,-,-,-
seme1247,-,k,h,-,u,-,7,-,-,-
besi1244,-,k,-,-,u,-,7,-,-,-
