language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
khmu1256,-,-,h,-,N,k,u,u,u,r
cent1989,k,-,h,-,y,-,-,-,o,l
semn1250,-,-,p,a,y,-,-,-,3,k
semn1250,-,-,s,-,y,-,-,-,a,k
lano1248,-,-,p,a,r,-,-,-,3,k
temi1246,-,-,p,a,r,-,-,-,3,k
temi1246,-,-,h,E,l,-,-,n,u,l
sema1266,-,-,p,i,n,-,-,-,o,y
sema1266,-,-,p,i,n,-,-,-,o,y
jahh1242,m,-,h,-,-,-,-,-,o,N
minr1238,h,-,p,-,h,-,-,-,i,p
jeha1242,-,-,b,-,g,-,-,-,i,w
jeha1242,-,-,b,-,g,-,-,-,i,w
chew1245,-,-,h,-,-,-,-,-,o,N
sema1265,T,-,h,-,-,-,-,-,o,N
sema1265,t,a,h,-,-,-,-,-,o,r
