language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
silt1240,-,-,-,-,-,t,S,3,-,-,-,l,o,-,-,-
wola1253,w,-,e,g,-,d,-,-,-,-,-,-,Z,-,-,-
zayy1238,b,-,-,-,-,-,-,a,a,a,i,y,u,-,-,-
hara1271,w,-,i,g,-,d,-,-,-,-,-,-,Z,-,-,-
amha1245,l,-,3,g,-,d,-,-,-,-,-,-,Z,-,-,-
argo1244,l,-,3,g,-,d,-,-,-,-,-,-,Z,-,-,-
mesq1240,t,-,3,x,-,-,-,-,-,-,-,-,3,-,-,-
muhe1234,t,-,3,k,-,-,-,-,-,-,-,-,3,-,-,-
chah1248,t,-,3,k,-,-,-,-,-,-,-,-,3,-,-,-
gura1260,t,-,3,k,-,-,-,-,-,-,-,-,3,-,-,-
gume1239,t,-,3,k,-,-,-,-,-,-,-,-,3,-,-,-
ezha1238,t,-,3,k,-,-,-,-,-,-,-,-,3,-,-,-
gyet1241,t,-,3,k,-,-,-,-,-,-,-,-,3,-,-,-
inor1240,t,-,3,k,-,-,-,-,-,-,-,-,3,-,-,-
kist1241,-,-,-,b,-,-,-,-,-,-,-,-,a,i,a,i
eneg1238,t,-,3,k,-,-,-,-,-,-,-,-,3,-,-,-
geez1241,-,w,a,l,-,d,-,-,-,-,-,-,-,-,-,-
tigr1271,q,w,3,l,-,X,-,-,-,-,-,-,a,-,-,-
tigr1270,-,w,3,l,a,d,-,-,-,-,-,-,-,-,-,-
