language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
silt1240,7,-,-,a,r,a,-,-,S,-,-,-,-,i
wola1253,7,-,-,a,r,a,-,-,S,-,-,-,-,-
zayy1238,7,-,-,a,r,a,-,-,S,-,-,-,-,i
hara1271,X,-,-,a,r,a,-,-,S,-,-,-,-,i
amha1245,7,-,-,a,r,a,-,-,S,-,-,-,-,-
argo1244,7,-,-,a,r,a,-,-,S,-,-,-,-,-
mesq1240,7,-,-,a,r,a,-,-,S,-,-,-,-,-
muhe1234,t,-,S,3,w,a,-,t,S,-,-,-,-,-
chah1248,t,-,S,3,w,a,-,t,S,-,-,-,-,-
gura1260,t,-,S,3,w,a,-,t,S,-,-,-,-,-
gume1239,t,-,S,3,w,a,-,t,S,-,-,-,-,-
ezha1238,t,-,S,3,w,a,-,t,S,-,-,-,-,-
gyet1241,t,-,S,o,w,a,-,t,S,-,-,-,-,-
inor1240,t,-,S,3,w,a,g,d,Z,-,-,-,-,-
kist1241,7,-,-,a,r,a,-,-,S,-,-,-,-,-
geez1241,g,3,b,a,r,-,-,-,-,-,-,-,-,-
tigr1271,X,-,-,a,r,3,-,-,s,t,a,i,a,i
tigr1270,X,-,-,3,r,3,-,-,s,t,a,i,a,i
