language,x1,x2,x3,x4,x5,x6,x7,x8,x9
silt1240,7,a,r,-,-,a,-,t,-
wola1253,7,a,r,-,-,a,-,t,-
zayy1238,7,a,r,-,-,3,-,t,-
hara1271,X,a,r,-,-,a,-,t,-
amha1245,7,a,r,-,-,a,-,t,-
argo1244,7,a,r,b,-,i,-,t,-
mesq1240,7,a,r,b,-,3,-,t,-
muhe1234,7,a,r,b,-,3,-,t,-
chah1248,7,a,r,b,-,3,-,t,-
gura1260,7,a,r,b,-,3,-,t,-
gume1239,7,a,r,b,-,3,-,t,-
ezha1238,7,a,r,b,-,3,-,t,-
gyet1241,7,a,r,b,7,a,-,t,-
inor1240,7,3,r,b,7,a,-,t,-
kist1241,7,a,r,-,-,a,-,t,-
geez1241,X,3,r,b,-,a,-,7,-
tigr1271,7,a,r,b,-,a,X,t,3
tigr1270,7,a,r,b,-,3,-,X,3
