language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
silt1240,-,-,-,7,a,k,-,-,-,-,u,-,-
wola1253,-,-,-,7,a,h,-,-,-,-,u,-,-
zayy1238,-,-,-,7,a,h,-,-,-,-,u,-,-
hara1271,-,-,-,7,a,x,-,-,-,-,a,7,-
amha1245,-,-,-,7,a,h,-,-,-,-,u,n,-
argo1244,-,-,-,7,a,h,-,-,-,-,a,n,5
mesq1240,-,-,-,7,3,x,w,-,-,-,a,-,-
muhe1234,-,-,-,7,a,x,u,n,n,5,a,-,-
chah1248,-,-,-,7,3,x,w,-,-,-,a,-,-
gura1260,-,-,-,7,3,x,w,-,-,-,a,-,-
gume1239,-,-,-,7,3,x,w,-,-,-,a,-,-
ezha1238,-,-,-,7,3,x,w,-,-,-,a,-,-
gyet1241,-,-,-,7,3,x,w,-,-,-,a,-,-
inor1240,-,-,-,w,a,k,-,-,-,-,a,-,-
kist1241,-,-,-,7,a,x,u,-,-,-,-,-,-
eneg1238,-,-,-,7,a,k,-,-,-,-,3,-,-
geez1241,i,y,3,7,3,z,-,-,-,-,e,-,-
tigr1271,-,-,-,X,3,z,-,-,-,-,i,-,-
tigr1270,-,-,-,7,a,z,-,-,-,-,e,-,-
