language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
silt1240,-,-,S,3,-,b,-,-,-,3,t
wola1253,-,-,S,3,-,b,-,-,-,3,t
zayy1238,-,-,S,i,-,b,a,i,a,i,-
amha1245,-,-,z,3,-,f,-,-,-,3,n
argo1244,-,-,z,3,-,f,-,-,-,3,n
mesq1240,-,-,d,3,-,r,-,-,-,-,s
muhe1234,-,-,d,3,-,r,-,-,-,3,s
chah1248,-,-,l,a,-,l,-,-,-,e,-
gura1260,-,-,l,a,-,l,-,-,-,e,-
gume1239,-,-,w,-,-,-,-,-,-,e,g
ezha1238,-,-,l,a,-,l,-,-,-,e,-
gyet1241,-,-,w,3,i,y,-,-,-,3,g
inor1240,-,-,l,a,-,l,-,-,-,e,-
kist1241,-,-,d,3,-,r,-,-,-,-,s
eneg1238,-,-,d,a,-,s,-,-,-,-,-
geez1241,m,a,X,3,-,l,-,-,-,e,t
tigr1271,-,-,d,3,-,r,-,-,f,i,-
tigr1270,w,3,t,3,-,r,-,-,-,-,-
