language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
silt1240,7,a,-,t,-,3,-,-,-,-
wola1253,7,a,-,t,-,3,-,-,-,-
zayy1238,7,a,-,t,-,3,-,-,-,-
hara1271,7,a,-,x,-,a,x,a,t,S
amha1245,7,a,n,t,-,3,-,-,-,-
argo1244,7,a,n,k,-,-,-,-,-,-
mesq1240,7,a,-,x,-,a,-,-,-,-
muhe1234,7,a,-,t,-,3,-,-,-,-
chah1248,7,a,-,x,-,3,-,-,-,-
gura1260,7,a,-,x,-,3,-,-,-,-
gume1239,7,a,-,x,-,3,-,-,-,-
ezha1238,z,a,-,h,-,3,-,-,-,-
gyet1241,7,a,-,x,m,a,-,-,-,-
inor1240,7,a,-,x,-,3,-,-,-,-
kist1241,d,3,-,x,-,3,-,-,-,-
eneg1238,7,a,-,x,-,3,-,-,-,-
geez1241,7,a,n,t,-,3,-,-,-,-
tigr1271,n,3,-,s,-,3,x,a,-,-
tigr1270,7,3,n,t,-,a,-,-,-,-
