language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
tupa1250,-,-,e,-,-,-,-,-,p,a,-,-,-
wayo1238,-,-,e,b,-,-,a,-,p,a,-,-,p
akun1241,-,-,e,p,-,-,a,-,p,a,-,-,-
saki1248,-,o,e,b,-,-,a,o,p,a,-,-,p
maku1278,t,S,i,t,-,-,-,-,S,a,-,-,-
kuru1309,-,-,e,t,-,-,-,-,-,a,-,-,-
mund1330,-,-,e,t,-,-,a,-,-,a,-,-,-
para1311,-,t,e,s,-,-,-,-,-,a,-,-,-
urub1250,-,-,e,h,-,-,-,-,-,a,-,-,-
pari1258,-,-,e,-,-,-,-,-,-,a,7,3,r
tapi1254,-,-,e,-,-,-,-,-,-,a,-,-,-
awet1244,-,-,-,t,-,-,-,-,-,a,-,-,-
sate1243,a,h,e,h,-,-,-,-,-,a,-,-,-
karo1305,i,T,a,g,-,-,a,a,7,a,-,-,7
puru1264,-,t,o,k,-,-,a,-,-,-,-,-,-
gavi1246,-,y,a,k,i,i,i,i,p,-,-,-,-
zoro1244,-,y,a,k,i,i,i,i,p,-,-,-,-
arua1261,-,T,a,k,-,-,a,a,p,-,-,-,-
sala1273,-,Z,a,k,-,-,a,a,p,-,-,-,-
suru1262,-,y,a,k,-,-,a,a,w,a,-,-,-
kari1311,-,s,3,-,-,-,-,-,p,o,-,-,-
juru1256,-,-,e,7,-,-,a,-,-,a,-,-,-
xipa1240,-,s,e,-,-,-,-,-,-,a,-,-,-
