language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
tupa1250,-,-,-,a,p,a,p,7,-,-,-,-,-,-,-,a,-,-,-
wayo1238,-,-,-,o,-,-,-,y,-,-,-,-,-,-,-,a,-,-,-
akun1241,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,a,-,m,-
saki1248,-,-,s,a,-,-,-,n,-,-,-,-,-,-,-,3,-,p,-
maku1278,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,a,-,r,e
kuru1309,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,a,-,-,-
mund1330,-,-,-,a,-,-,-,7,-,-,a,-,-,-,-,a,-,-,-
para1311,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-
urub1250,i,-,-,a,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-
pari1258,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,a,-,N,-
tapi1254,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,3,-,N,-
awet1244,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,a,p,u,t
sate1243,a,i,7,a,-,-,-,k,-,-,-,-,-,-,-,a,-,N,-
karo1305,-,-,-,a,-,-,-,n,-,-,a,-,-,k,a,a,-,-,-
puru1264,-,-,-,a,-,-,-,-,-,-,-,-,-,S,-,a,-,-,-
gavi1246,-,-,-,a,-,a,-,d,a,a,a,a,t,-,-,-,-,-,-
zoro1244,-,-,-,a,-,a,-,d,a,a,a,a,t,-,-,-,-,-,-
zoro1244,-,-,-,a,-,a,-,d,a,a,a,a,t,-,-,-,-,-,-
arua1261,-,-,-,a,-,a,-,d,-,-,a,a,t,-,-,-,-,-,-
sala1273,-,-,-,a,-,a,-,d,-,-,a,a,t,7,-,a,-,-,-
sala1273,-,-,-,-,-,a,-,d,-,-,a,a,t,7,-,a,-,-,-
suru1262,-,-,-,a,-,a,-,n,a,-,a,a,r,-,-,-,-,-,-
suru1262,-,-,-,a,-,a,-,n,-,-,a,a,r,-,-,-,-,-,-
kari1311,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,o,-,-,-
juru1256,-,-,t,a,-,-,-,b,-,-,a,-,-,-,-,a,-,-,-
xipa1240,-,-,t,a,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-
