language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
tupa1250,-,-,-,-,-,-,o,-,-,-,-,y,-,-,-,e,-,-,-
wayo1238,-,-,-,-,-,-,i,-,-,-,-,5,e,m,p,e,-,-,-
akun1241,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,e,-,-,-
saki1248,-,-,-,-,-,-,i,-,-,-,-,5,-,-,-,e,-,-,-
saki1248,-,-,-,-,-,-,i,-,-,-,-,y,-,-,-,e,-,-,-
maku1278,-,-,-,-,-,b,u,-,-,-,-,r,a,7,p,i,-,-,-
kuru1309,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,i,-,-,-
mund1330,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,i,-,-,-
mund1330,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,i,-,-,-
para1311,-,-,-,-,-,y,u,-,-,-,-,r,-,-,-,u,-,-,-
urub1250,-,-,-,-,-,y,u,-,-,-,-,r,-,-,-,u,-,-,-
pari1258,-,-,-,-,-,y,u,-,-,-,-,r,-,-,-,u,-,-,-
tapi1254,t,-,-,-,-,y,o,-,-,-,-,r,-,-,-,o,-,-,-
awet1244,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,u,-,p,3
sate1243,a,-,-,-,-,i,w,-,-,-,-,-,-,-,-,e,-,-,-
karo1305,-,-,-,-,-,-,a,7,n,a,k,k,-,-,-,a,a,7,-
puru1264,-,-,-,-,-,-,u,r,-,-,u,7,-,-,-,a,-,p,-
gavi1246,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,o,-,-,-
zoro1244,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,o,-,-,-
arua1261,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,o,-,-,-
sala1273,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,o,-,-,-
suru1262,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,o,-,-,-
kari1311,-,-,-,-,-,k,o,-,-,-,-,r,o,m,b,o,-,-,-
juru1256,k,a,a,S,i,b,3,-,-,-,-,-,-,-,-,a,-,-,-
xipa1240,-,-,-,-,-,m,i,-,-,-,-,t,-,-,-,a,-,-,-
