language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
tupa1250,-,-,s,i,m,-,7,-,-,e,-,-,-,-,-,-
wayo1238,-,-,5,i,n,-,d,-,-,a,k,-,-,-,-,-
akun1241,-,-,m,a,-,-,t,-,S,o,-,-,-,-,-,-
saki1248,-,-,m,a,-,-,-,-,s,o,p,-,i,-,-,-
maku1278,-,N,g,i,-,-,t,-,-,a,7,-,-,-,-,-
kuru1309,-,-,k,i,-,-,y,-,-,a,b,-,e,-,-,-
mund1330,-,-,k,-,-,-,-,-,-,a,b,-,i,o,o,N
para1311,-,-,p,3,h,a,r,-,-,e,-,-,-,-,-,-
urub1250,-,-,p,3,-,-,t,-,-,u,n,-,-,-,-,-
pari1258,-,3,p,3,-,-,t,-,-,u,n,-,-,-,-,-
tapi1254,-,3,p,3,-,-,t,-,-,o,n,-,-,-,-,-
awet1244,-,3,p,3,-,-,t,a,k,o,-,-,-,-,-,-
sate1243,-,-,w,a,-,-,t,-,-,3,m,-,-,-,-,-
karo1305,-,-,-,i,7,-,T,-,-,a,k,m,a,-,-,m
puru1264,-,-,-,-,-,-,S,-,-,e,w,-,-,-,-,-
gavi1246,-,-,b,i,-,-,T,-,-,a,k,-,-,-,-,-
zoro1244,-,-,b,i,-,-,T,-,-,a,k,-,-,-,-,-
arua1261,-,-,b,i,-,-,T,-,-,a,k,-,-,-,-,-
sala1273,-,-,b,i,-,-,s,-,-,a,k,-,-,-,-,-
suru1262,-,-,m,i,-,-,S,-,-,a,k,-,-,-,-,-
kari1311,-,-,d,i,-,-,-,-,-,-,p,-,-,-,-,-
juru1256,k,a,m,a,-,-,d,-,e,e,h,u,u,-,-,-
xipa1240,k,a,m,a,-,-,d,-,-,3,h,-,u,-,-,-
