language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
tupa1250,e,m,a,-,-,7,-,a,-,-,-,-,-
wayo1238,-,m,a,-,-,y,-,a,-,-,-,-,-
akun1241,-,-,e,-,-,r,-,e,-,-,w,a,-
saki1248,-,-,-,-,-,k,-,e,-,-,-,-,-
maku1278,-,-,-,-,-,n,-,a,-,-,-,-,-
mund1330,-,-,-,-,-,7,e,e,-,-,-,-,-
para1311,-,h,a,-,-,7,-,e,-,-,-,-,-
urub1250,-,-,-,-,-,y,-,e,-,-,-,-,-
tapi1254,-,-,a,-,-,h,-,e,-,-,-,-,-
awet1244,-,-,-,-,-,7,-,e,-,-,-,-,-
sate1243,-,-,a,r,e,7,-,e,-,-,-,-,-
karo1305,-,-,-,-,-,7,-,e,-,-,-,-,-
puru1264,-,-,-,-,-,b,-,e,d,o,w,3,-
gavi1246,-,-,-,-,-,-,-,e,-,e,-,e,e
kari1311,-,-,-,-,-,7,-,a,-,-,-,-,-
juru1256,-,-,-,-,-,-,-,a,-,-,-,-,-
