language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
tupa1250,-,-,-,-,-,-,-,-,-,s,-,-,-,-,i,-,-,n,-,-,-
wayo1238,-,-,-,-,-,-,-,-,-,5,-,-,-,-,i,-,-,N,-,-,-
akun1241,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,N,-,-,-
saki1248,-,-,-,-,-,o,t,a,t,n,-,-,-,-,i,-,-,k,-,-,-
maku1278,-,-,-,-,-,-,-,-,-,5,-,-,-,-,i,-,-,N,g,e,n
kuru1309,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,N,-,-,-
mund1330,-,-,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,N,-,-,-
mund1330,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,N,-,-,-
para1311,-,-,-,-,t,a,t,a,-,t,-,-,-,-,i,-,-,-,-,-,-
urub1250,-,-,-,-,t,a,t,a,-,t,a,k,a,S,i,-,-,-,-,-,-
pari1258,-,-,-,-,-,a,t,a,-,t,-,-,-,-,i,-,-,N,-,-,-
awet1244,-,-,-,-,t,a,Z,a,-,t,-,-,-,-,i,-,-,N,-,-,-
sate1243,-,-,-,-,-,-,-,3,-,h,-,-,-,-,i,-,-,N,-,-,-
karo1305,T,a,r,o,g,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-
gavi1246,p,o,-,o,k,a,-,a,y,d,-,-,-,-,i,-,-,k,-,-,-
zoro1244,p,o,-,o,k,a,-,a,y,n,-,-,-,-,i,-,-,k,-,-,-
arua1261,-,-,-,-,-,-,-,-,-,5,-,-,-,-,i,-,-,k,-,-,-
arua1261,-,-,-,-,-,-,-,-,-,5,i,-,i,-,i,-,-,k,7,a,-
sala1273,b,-,-,-,-,-,-,a,-,d,-,-,-,-,i,-,-,k,-,-,-
suru1262,m,o,-,o,k,a,-,a,y,n,-,-,-,-,i,-,-,N,-,-,-
kari1311,-,i,-,-,s,-,-,o,-,5,-,-,-,-,i,-,-,N,g,a,-
juru1256,-,-,-,-,-,a,S,i,i,S,-,-,-,-,i,7,a,a,-,-,-
xipa1240,-,-,-,-,-,-,-,-,-,S,-,-,-,-,i,-,-,a,-,-,-
xipa1240,-,-,-,-,-,-,-,-,-,s,-,-,-,-,i,-,-,a,-,-,-
