language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
tupa1250,-,-,-,-,-,7,-,e,-,w,-,r,-,-,-,-,-,a,-
wayo1238,-,-,-,-,-,t,-,i,a,p,-,-,-,-,-,-,-,a,-
saki1248,-,-,-,-,-,s,-,e,-,-,-,k,-,-,-,-,i,a,-
mund1330,-,-,-,-,-,d,-,o,-,-,-,k,-,-,-,-,-,-,-
para1311,-,-,-,-,-,h,a,3,-,-,-,t,-,-,-,-,-,a,-
tapi1254,-,-,-,-,-,h,-,3,-,-,-,t,-,-,-,-,-,a,m
awet1244,-,-,-,-,-,-,-,3,-,-,-,t,-,-,-,-,-,a,p
sate1243,a,r,e,-,-,7,-,3,-,-,-,h,-,-,-,-,-,a,-
karo1305,-,-,-,-,-,-,-,-,-,p,u,N,-,-,-,p,-,u,N
arua1261,-,-,-,-,-,t,-,a,a,-,-,k,t,a,a,N,a,a,-
gavi1246,-,-,-,-,-,k,-,a,a,p,-,k,-,a,a,b,a,a,-
suru1262,-,-,-,-,-,k,-,a,a,p,-,k,-,a,a,b,a,a,-
kari1311,-,-,-,-,-,t,-,a,-,k,-,t,-,-,-,-,-,a,k
juru1256,-,-,i,b,3,k,-,a,a,-,-,r,-,a,a,h,-,u,-
