language,x1,x2,x3,x4,x5,x6,x7,x8
tupa1250,-,e,-,-,n,-,-,-
wayo1238,7,e,-,-,n,-,-,-
akun1241,-,e,-,-,n,-,-,-
saki1248,-,e,-,-,t,-,-,-
maku1278,-,e,-,-,n,-,-,-
kuru1309,-,e,-,-,n,-,-,-
mund1330,e,e,-,-,n,-,-,-
para1311,-,-,-,-,n,d,e,-
urub1250,-,-,-,-,n,d,e,-
pari1258,-,-,-,-,n,d,e,-
tapi1254,-,a,-,-,n,-,e,-
awet1244,-,-,-,-,7,-,e,n
sate1243,-,e,-,-,n,-,-,-
karo1305,7,e,-,-,n,-,-,-
puru1264,7,e,-,-,n,-,-,-
gavi1246,-,e,-,-,t,-,-,-
zoro1244,-,e,-,-,t,-,-,-
arua1261,-,e,-,-,t,-,-,-
sala1273,-,e,-,-,t,-,-,-
suru1262,-,e,e,e,n,-,-,-
kari1311,-,a,-,-,n,-,-,-
juru1256,-,e,-,-,n,-,a,-
xipa1240,-,e,-,-,n,-,a,-
