language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
tupa1250,-,h,-,-,3,-,-,-,r,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
wayo1238,n,d,-,-,3,-,-,-,r,-,-,3,-,-,-,-,-,-,-,-,-,-,t,-,-
akun1241,-,t,-,-,3,-,-,-,r,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
saki1248,-,t,-,-,3,-,-,-,r,-,-,3,-,-,-,e,-,-,-,-,-,-,p,-,-
maku1278,-,-,-,-,e,-,-,-,r,e,7,a,-,-,-,-,-,-,-,-,-,-,-,-,-
mund1330,-,S,-,-,e,-,-,-,-,-,-,e,p,S,e,e,-,-,-,-,-,-,p,-,-
para1311,-,-,-,-,-,-,-,-,m,-,-,o,-,k,-,o,-,-,-,-,-,-,y,-,-
urub1250,-,-,-,-,-,-,-,-,m,-,-,o,-,k,-,o,-,-,-,-,-,-,y,-,-
tapi1254,-,-,-,-,-,-,-,-,m,-,-,o,-,k,-,o,-,-,-,-,-,-,y,-,-
awet1244,-,-,-,-,-,-,-,-,m,-,-,o,-,k,-,o,-,-,-,-,-,-,y,-,-
sate1243,-,t,-,-,3,-,-,-,p,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
karo1305,-,T,-,-,a,g,a,a,r,-,-,o,-,k,-,o,m,n,e,-,-,-,m,-,-
puru1264,-,b,-,-,e,-,-,-,-,-,-,-,-,w,-,a,-,-,-,-,-,-,p,-,-
arua1261,-,b,-,-,o,-,-,-,-,-,-,-,-,s,-,a,-,-,-,-,-,-,-,-,-
gavi1246,-,p,a,a,a,-,-,-,-,-,-,-,-,y,-,a,-,k,i,i,i,i,p,-,-
suru1262,-,m,-,i,i,-,-,-,-,-,-,-,-,y,-,a,-,k,-,-,a,a,b,3,t
kari1311,-,s,-,-,3,-,-,-,p,-,-,o,-,-,-,-,-,-,-,-,-,m,p,-,-
juru1256,-,y,-,-,a,u,-,-,d,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
