language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
temb1276,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
tupi1273,-,-,-,-,k,o,m,a,n,-,a,-,-,-,-
guaj1255,-,-,-,-,k,u,m,a,n,-,a,-,-,7,i
xing1248,-,-,-,-,k,u,m,a,n,-,a,-,-,7,i
kama1373,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
urub1250,-,-,-,-,k,u,m,a,n,-,a,-,-,7,i
waya1270,-,-,-,-,k,u,m,a,n,-,a,-,-,s,i
avac1239,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
east2555,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
para1311,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
mbya1239,-,-,-,-,k,o,m,a,n,-,a,-,-,-,-
guar1292,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
nhen1239,-,-,-,-,k,u,-,-,n,d,a,m,i,r,i
kaya1329,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
paus1244,-,-,-,-,-,-,p,e,8,-,3,-,-,-,-
emer1243,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
toca1235,-,-,-,-,k,o,m,a,n,-,a,-,-,-,-
para1312,-,-,-,-,k,o,m,a,n,-,a,-,-,7,i
tapi1254,-,-,-,-,k,o,m,a,n,-,a,-,-,-,-
anam1249,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
apia1248,-,-,-,-,k,o,m,a,n,-,a,-,-,7,i
araw1273,-,-,-,-,k,a,m,a,r,-,a,-,-,7,i
omag1248,p,u,r,u,t,u,-,-,-,-,-,-,-,-,-
sate1243,-,-,-,-,k,u,m,a,n,-,a,-,-,-,-
