language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
temb1276,m,-,o,-,-,n,-,-,o,h,o,k
xing1248,m,-,u,-,-,n,-,-,3,-,3,k
kama1373,-,-,-,-,-,-,-,-,3,h,3,k
waya1270,m,-,a,-,-,-,-,-,a,t,3,-
kaya1329,m,-,o,-,-,n,-,-,o,-,-,N
east2555,m,b,o,-,-,-,-,-,a,t,3,-
para1311,m,-,o,-,-,n,-,-,o,7,o,-
mbya1239,m,-,o,-,-,n,-,-,o,7,o,-
urub1250,m,-,-,-,-,-,-,-,a,t,3,r
amun1246,m,-,o,-,-,n,-,-,o,7,o,N
urue1240,m,-,o,-,-,n,-,-,o,7,o,N
tenh1241,m,-,o,-,-,n,-,-,o,7,o,N
emer1243,-,-,-,-,-,n,-,-,a,7,a,N
para1312,m,-,o,-,-,-,-,-,3,r,3,g
tapi1254,-,-,-,-,-,-,-,-,-,w,3,-
coca1259,y,-,a,-,-,t,3,r,3,t,a,-
omag1248,y,-,a,-,-,t,3,r,3,t,a,-
yuqu1240,y,-,e,-,-,t,-,-,-,-,e,-
siri1273,m,-,a,-,-,n,-,-,u,-,a,-
sate1243,-,-,a,t,u,n,-,-,-,-,u,N
