language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
temb1276,-,-,-,-,-,3,-,-,-,-,-,p,-,-,-,a,w,-,-,-
xing1248,-,-,-,-,7,3,-,-,-,-,-,p,-,-,-,a,w,-,-,-
kama1373,-,-,-,-,-,3,-,-,-,-,w,p,-,-,-,a,p,-,-,-
waya1270,-,-,-,-,-,3,-,-,-,-,-,p,-,-,-,a,-,-,-,-
avac1239,-,-,-,-,-,3,-,-,-,-,-,p,-,-,-,a,w,-,-,-
kaya1329,-,-,-,-,7,3,-,-,-,-,-,p,i,-,-,a,-,-,-,-
east2555,-,-,-,-,-,3,-,-,-,-,-,p,-,-,-,a,-,-,-,-
para1311,-,-,-,-,-,3,-,-,-,-,-,p,-,-,-,a,-,-,-,-
mbya1239,-,-,-,-,-,u,-,-,-,-,-,p,-,-,-,a,-,-,-,-
guar1292,-,-,-,-,-,3,-,-,-,-,u,p,-,-,-,a,-,-,-,-
urub1250,-,-,-,-,-,3,-,-,-,-,-,p,-,-,-,a,-,-,-,-
amun1246,-,-,-,-,-,3,-,-,-,-,-,p,i,-,-,a,h,u,a,-
urue1240,-,-,-,-,-,3,-,-,-,-,-,p,i,-,-,a,h,u,a,-
tenh1241,-,-,-,-,-,3,-,-,-,-,-,p,i,-,-,a,7,i,-,-
toca1235,-,-,-,-,-,3,e,w,e,g,o,h,o,-,-,a,-,-,-,-
para1312,-,-,-,-,-,3,-,-,-,-,-,p,-,-,-,a,b,-,-,-
tapi1254,-,-,-,-,7,3,-,-,-,-,o,p,-,-,-,a,m,-,-,-
suru1262,-,-,-,-,-,i,-,-,-,-,-,p,u,-,r,e,-,-,-,-
guaj1256,-,-,-,-,-,i,-,-,-,-,-,p,-,-,-,u,-,-,-,-
coca1259,-,-,-,-,t,i,-,-,-,-,-,p,i,S,k,a,-,-,-,-
omag1248,-,-,-,-,-,3,-,-,-,-,-,p,-,-,-,a,s,u,-,-
yuqu1240,-,-,-,-,-,i,-,-,-,-,-,h,-,-,-,a,-,-,-,-
siri1273,a,m,a,n,d,3,-,-,-,-,-,S,-,-,-,a,-,-,-,-
sate1243,i,-,-,-,h,3,-,-,-,-,-,p,-,-,-,3,h,u,a,t
awet1244,-,-,-,-,7,3,-,-,-,-,-,w,-,-,-,a,t,u,-,-
