language,x1,x2,x3,x4,x5,x6,x7,x8
temb1276,-,a,w,-,-,a,-,-
tupi1273,-,a,b,-,-,a,-,-
guaj1255,-,-,p,u,r,u,-,-
xing1248,-,a,b,-,-,a,-,-
kama1373,-,a,w,-,-,a,-,-
urub1250,s,a,w,-,-,a,7,e
waya1270,-,a,w,-,-,a,-,-
avac1239,-,a,w,-,-,a,-,-
east2555,-,a,b,-,-,a,-,-
guar1292,-,a,b,-,-,a,-,-
nhen1239,-,a,w,-,-,a,-,-
kaya1329,-,a,-,-,-,e,-,-
amun1246,-,a,h,-,-,e,-,-
urue1240,-,a,h,-,-,e,-,-
tenh1241,-,a,h,-,-,e,-,-
paus1244,-,3,w,-,-,3,-,-
toca1235,-,a,w,-,-,a,-,-
tapi1254,-,a,w,-,-,a,-,-
anam1249,-,a,w,-,-,a,-,-
guaj1256,-,a,w,-,-,a,-,-
araw1273,-,a,w,-,-,a,-,-
coca1259,-,a,w,-,-,a,-,-
omag1248,-,a,w,-,-,a,-,-
yuqu1240,-,a,b,-,-,a,-,-
siri1273,-,a,b,-,-,a,-,-
sate1243,-,-,m,-,-,i,-,t
