language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
tupi1273,-,a,p,e,k,-,u,-,-,-,-
guaj1255,-,a,p,e,k,-,u,-,-,-,-
kama1373,-,-,-,-,k,-,o,-,-,-,-
urub1250,-,e,m,-,b,-,e,-,-,-,-
waya1270,-,a,p,e,k,-,u,-,-,-,-
east2555,-,-,-,-,k,-,u,-,-,-,-
para1311,-,-,-,-,k,-,u,-,-,-,-
mbya1239,-,-,-,-,k,-,u,-,-,-,-
guar1292,-,a,p,e,k,-,u,-,-,-,-
nhen1239,-,-,-,-,k,-,u,-,-,-,-
kaya1329,-,-,-,-,k,-,u,-,-,-,-
amun1246,-,-,-,-,k,-,o,-,-,-,a
urue1240,-,-,-,-,k,-,o,-,-,-,a
tenh1241,-,-,-,-,k,-,o,-,-,-,a
paus1244,-,-,-,-,k,-,u,-,-,-,-
emer1243,-,a,-,-,w,-,u,-,-,-,-
toca1235,-,-,-,-,k,-,o,-,-,-,a
tapi1254,-,-,-,-,k,-,o,-,-,-,-
apia1248,-,a,p,e,k,-,u,-,-,-,-
guaj1256,y,a,m,u,k,-,u,-,-,-,-
araw1273,-,a,p,e,k,-,o,-,-,-,-
coca1259,-,-,-,-,k,-,u,m,3,r,a
omag1248,-,-,-,-,k,-,u,m,3,r,a
yuqu1240,-,-,-,e,k,y,o,-,-,-,-
siri1273,-,-,-,e,k,-,o,-,-,-,-
sate1243,-,-,-,e,k,-,u,-,-,-,-
awet1244,-,-,-,e,k,-,u,-,-,-,-
